Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/01/2025,Cash,$0.47,11/19/2025,12/01/2025,12/15/2025,USD
08/25/2025,Cash,$0.40,08/14/2025,08/25/2025,09/08/2025,USD
05/27/2025,Cash,$0.40,05/15/2025,05/27/2025,06/09/2025,USD
02/18/2025,Cash,$0.40,02/03/2025,02/18/2025,03/03/2025,USD
11/25/2024,Cash,$0.60,11/14/2024,11/25/2024,12/09/2024,USD
08/26/2024,Cash,$0.55,08/15/2024,08/26/2024,09/09/2024,USD
06/03/2024,Cash,$0.55,05/16/2024,06/03/2024,06/17/2024,USD
02/16/2024,Cash,$0.55,02/05/2024,02/20/2024,03/04/2024,USD
11/24/2023,Cash,$0.55,11/15/2023,11/27/2023,12/11/2023,USD
08/25/2023,Cash,$0.45,08/17/2023,08/28/2023,09/11/2023,USD
06/09/2023,Cash,$0.45,05/25/2023,06/12/2023,06/26/2023,USD
02/17/2023,Cash,$0.45,02/06/2023,02/21/2023,03/06/2023,USD
11/25/2022,Cash,$0.45,11/10/2022,11/28/2022,12/12/2022,USD
08/26/2022,Cash,$0.33,08/10/2022,08/29/2022,09/12/2022,USD
05/27/2022,Cash,$0.33,05/12/2022,05/31/2022,06/13/2022,USD
03/04/2022,Cash,$0.33,02/22/2022,03/07/2022,03/21/2022,USD
11/26/2021,Cash,$0.33,11/11/2021,11/29/2021,12/13/2021,USD
08/27/2021,Cash,$0.28,08/12/2021,08/30/2021,09/13/2021,USD
05/28/2021,Cash,$0.28,05/13/2021,06/01/2021,06/14/2021,USD
03/05/2021,Cash,$0.28,02/23/2021,03/08/2021,03/22/2021,USD
11/27/2020,Cash,$0.28,11/19/2020,11/30/2020,12/14/2020,USD
08/28/2020,Cash,$0.25,08/13/2020,08/31/2020,09/14/2020,USD
05/29/2020,Cash,$0.25,05/14/2020,06/01/2020,06/15/2020,USD
03/06/2020,Cash,$0.25,02/25/2020,03/09/2020,03/23/2020,USD
12/13/2019,Cash,$0.25,12/02/2019,12/16/2019,12/30/2019,USD
03/19/2003,Cash,$0.04,N/A,03/19/2003,N/A,USD
12/17/2002,Cash,$0.04,N/A,12/17/2002,N/A,USD
09/11/2002,Cash,$0.04,N/A,09/11/2002,N/A,USD
06/12/2002,Cash,$0.04,N/A,06/12/2002,N/A,USD
03/20/2002,Cash,$0.04,N/A,03/20/2002,N/A,USD
12/19/2001,Cash,$0.04,N/A,12/19/2001,N/A,USD
09/21/2001,Cash,$0.04,N/A,09/21/2001,N/A,USD
06/13/2001,Cash,$0.04,N/A,06/13/2001,N/A,USD
03/14/2001,Cash,$0.04,N/A,03/14/2001,N/A,USD
12/13/2000,Cash,$0.04,N/A,12/13/2000,N/A,USD
09/13/2000,Cash,$0.04,N/A,09/13/2000,N/A,USD
06/08/2000,Cash,$0.04,N/A,06/08/2000,N/A,USD
03/09/2000,Cash,$0.04,N/A,03/09/2000,N/A,USD
12/13/1999,Cash,$0.04,N/A,12/13/1999,N/A,USD
09/15/1999,Cash,$0.04,N/A,09/15/1999,N/A,USD
06/09/1999,Cash,$0.04,N/A,06/09/1999,N/A,USD
03/10/1999,Cash,$0.04,N/A,03/10/1999,N/A,USD
12/10/1998,Cash,$0.04,N/A,12/10/1998,N/A,USD
09/11/1998,Cash,$0.04,N/A,09/11/1998,N/A,USD
06/10/1998,Cash,$0.04,N/A,06/10/1998,N/A,USD
03/11/1998,Cash,$0.04,N/A,03/11/1998,N/A,USD
09/11/1997,Cash,$0.04,N/A,09/11/1997,N/A,USD
06/11/1997,Cash,$0.04,N/A,06/11/1997,N/A,USD
03/12/1997,Cash,$0.04,N/A,03/12/1997,N/A,USD
12/11/1996,Cash,$0.04,N/A,12/11/1996,N/A,USD
10/01/1996,Cash,$0.04,N/A,10/01/1996,N/A,USD
06/12/1996,Cash,$0.04,N/A,06/12/1996,N/A,USD
03/13/1996,Cash,$0.04,N/A,03/13/1996,N/A,USD
12/13/1995,Cash,$0.04,N/A,12/13/1995,N/A,USD
09/13/1995,Cash,$0.04,N/A,09/13/1995,N/A,USD
06/13/1995,Cash,$0.04,N/A,06/13/1995,N/A,USD
