Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
02/17/2026,Cash,$0.1083,11/05/2025,02/17/2026,03/03/2026,USD
01/15/2026,Cash,$0.1083,11/05/2025,01/15/2026,02/03/2026,USD
12/15/2025,Cash,$0.1083,11/05/2025,12/15/2025,01/06/2026,USD
11/17/2025,Cash,$0.1083,11/05/2025,11/17/2025,12/02/2025,USD
10/15/2025,Cash,$0.1083,09/02/2025,10/15/2025,11/04/2025,USD
09/15/2025,Cash,$0.1083,09/02/2025,09/15/2025,10/01/2025,USD
08/15/2025,Cash,$0.1025,08/05/2025,08/15/2025,09/03/2025,USD
07/15/2025,Cash,$0.1025,05/01/2025,07/15/2025,08/01/2025,USD
06/16/2025,Cash,$0.1025,05/01/2025,06/16/2025,07/01/2025,USD
05/16/2025,Cash,$0.1025,05/01/2025,05/16/2025,06/03/2025,USD
04/15/2025,Cash,$0.1025,02/12/2025,04/15/2025,05/01/2025,USD
03/17/2025,Cash,$0.1025,02/12/2025,03/17/2025,04/01/2025,USD
02/18/2025,Cash,$0.1025,10/30/2024,02/18/2025,03/04/2025,USD
01/15/2025,Cash,$0.1025,10/30/2024,01/15/2025,02/04/2025,USD
12/16/2024,Cash,$0.1025,10/30/2024,12/16/2024,01/03/2025,USD
11/15/2024,Cash,$0.1025,10/30/2024,11/15/2024,12/03/2024,USD
10/15/2024,Cash,$0.1025,09/03/2024,10/15/2024,11/01/2024,USD
09/16/2024,Cash,$0.1025,09/03/2024,09/16/2024,10/01/2024,USD
08/15/2024,Cash,$0.0975,07/31/2024,08/15/2024,09/04/2024,USD
07/15/2024,Cash,$0.0975,04/30/2024,07/15/2024,08/01/2024,USD
06/17/2024,Cash,$0.0975,04/30/2024,06/17/2024,07/02/2024,USD
05/14/2024,Cash,$0.0975,04/30/2024,05/15/2024,06/04/2024,USD
04/12/2024,Cash,$0.0975,02/21/2024,04/15/2024,05/01/2024,USD
03/14/2024,Cash,$0.0975,02/21/2024,03/15/2024,04/01/2024,USD
02/14/2024,Cash,$0.0975,11/07/2023,02/15/2024,03/01/2024,USD
01/12/2024,Cash,$0.0975,11/07/2023,01/16/2024,02/01/2024,USD
12/14/2023,Cash,$0.0975,11/07/2023,12/15/2023,01/02/2024,USD
11/16/2023,Cash,$0.0975,11/07/2023,11/17/2023,12/01/2023,USD
10/13/2023,Cash,$0.0975,09/05/2023,10/16/2023,11/01/2023,USD
09/14/2023,Cash,$0.0975,09/05/2023,09/15/2023,10/02/2023,USD
08/17/2023,Cash,$0.0933,08/08/2023,08/18/2023,09/01/2023,USD
07/14/2023,Cash,$0.0933,05/09/2023,07/17/2023,08/01/2023,USD
06/14/2023,Cash,$0.0933,05/09/2023,06/15/2023,07/03/2023,USD
05/18/2023,Cash,$0.0933,05/09/2023,05/19/2023,06/01/2023,USD
04/14/2023,Cash,$0.0933,02/09/2023,04/17/2023,05/01/2023,USD
03/14/2023,Cash,$0.0933,02/09/2023,03/15/2023,04/03/2023,USD
02/17/2023,Cash,$0.0933,02/09/2023,02/21/2023,03/01/2023,USD
01/13/2023,Cash,$0.0933,11/03/2022,01/17/2023,02/01/2023,USD
12/14/2022,Cash,$0.0933,11/03/2022,12/15/2022,01/03/2023,USD
11/14/2022,Cash,$0.0933,11/03/2022,11/15/2022,12/01/2022,USD
10/14/2022,Cash,$0.0933,09/06/2022,10/17/2022,11/01/2022,USD
09/15/2022,Cash,$0.0933,09/06/2022,09/16/2022,10/03/2022,USD
08/12/2022,Cash,$0.09,08/03/2022,08/15/2022,09/01/2022,USD
07/14/2022,Cash,$0.09,N/A,07/15/2022,08/01/2022,USD
06/14/2022,Cash,$0.09,N/A,06/15/2022,07/01/2022,USD
05/13/2022,Cash,$0.09,N/A,05/16/2022,06/01/2022,USD
04/13/2022,Cash,$0.09,02/09/2021,04/15/2022,05/02/2022,USD
03/14/2022,Cash,$0.09,02/09/2022,03/15/2022,04/01/2022,USD
02/14/2022,Cash,$0.09,02/09/2022,02/15/2022,03/01/2022,USD
01/18/2022,Cash,$0.09,11/04/2021,01/19/2022,02/01/2022,USD
12/14/2021,Cash,$0.09,11/04/2021,12/15/2021,01/03/2022,USD
11/12/2021,Cash,$0.09,11/04/2021,11/15/2021,12/01/2021,USD
10/14/2021,Cash,$0.09,09/28/2021,10/15/2021,11/01/2021,USD
09/14/2021,Cash,$0.085,09/01/2021,09/15/2021,10/01/2021,USD
N/A,Cash,$0.085,08/05/2021,08/16/2021,09/01/2021,USD
