Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
10/07/2025,Cash,$0.75,09/16/2025,10/07/2025,10/21/2025,USD
07/08/2025,Cash,$0.75,06/20/2025,07/08/2025,07/22/2025,USD
04/07/2025,Cash,$0.75,03/19/2025,04/07/2025,04/21/2025,USD
01/10/2025,Cash,$0.75,12/26/2024,01/09/2025,01/23/2025,USD
10/07/2024,Cash,$0.70,09/19/2024,10/07/2024,10/21/2024,USD
07/05/2024,Cash,$0.70,06/20/2024,07/05/2024,07/19/2024,USD
04/04/2024,Cash,$0.70,03/20/2024,04/05/2024,04/19/2024,USD
01/05/2024,Cash,$0.70,12/13/2023,01/08/2024,01/22/2024,USD
10/05/2023,Cash,$0.55,09/20/2023,10/06/2023,10/20/2023,USD
07/06/2023,Cash,$0.55,06/21/2023,07/07/2023,07/21/2023,USD
04/05/2023,Cash,$0.55,03/27/2023,04/07/2023,04/21/2023,USD
01/05/2023,Cash,$0.55,12/15/2022,01/06/2023,01/20/2023,USD
10/06/2022,Cash,$0.43,09/21/2022,10/07/2022,10/21/2022,USD
07/06/2022,Cash,$0.43,06/22/2022,07/07/2022,07/21/2022,USD
04/06/2022,Cash,$0.43,03/16/2022,04/07/2022,04/21/2022,USD
01/06/2022,Cash,$0.43,12/22/2021,01/07/2022,01/21/2022,USD
10/06/2021,Cash,$0.38,09/22/2021,10/07/2021,10/21/2021,USD
07/06/2021,Cash,$0.38,06/16/2021,07/07/2021,07/21/2021,USD
04/06/2021,Cash,$0.38,03/18/2021,04/07/2021,04/21/2021,USD
01/06/2021,Cash,$0.30,12/16/2020,01/07/2021,01/21/2021,USD
10/06/2020,Cash,$0.30,09/16/2020,10/07/2020,10/21/2020,USD
07/06/2020,Cash,$0.30,06/17/2020,07/07/2020,07/21/2020,USD
04/06/2020,Cash,$0.30,03/17/2020,04/07/2020,04/21/2020,USD
01/06/2020,Cash,$0.30,12/09/2019,01/07/2020,01/21/2020,USD
10/04/2019,Cash,$0.30,09/18/2019,10/07/2019,10/21/2019,USD
07/05/2019,Cash,$0.30,06/19/2019,07/08/2019,07/22/2019,USD
04/05/2019,Cash,$0.30,03/28/2019,04/08/2019,04/22/2019,USD
01/07/2019,Cash,$0.30,12/06/2018,01/08/2019,01/22/2019,USD
10/04/2018,Cash,$0.25,09/19/2018,10/05/2018,10/19/2018,USD
07/05/2018,Cash,$0.25,06/27/2018,07/06/2018,07/20/2018,USD
04/06/2018,Cash,$0.22,03/29/2018,04/09/2018,04/23/2018,USD
01/05/2018,Cash,$0.22,12/26/2017,01/08/2018,01/22/2018,USD
10/05/2017,Cash,$0.20,09/21/2017,10/06/2017,10/20/2017,USD
07/05/2017,Cash,$0.20,06/23/2017,07/07/2017,07/21/2017,USD
04/05/2017,Cash,$0.18,03/24/2017,04/07/2017,04/21/2017,USD
01/04/2017,Cash,$0.18,12/23/2016,01/06/2017,01/20/2017,USD
10/05/2016,Cash,$0.15,09/22/2016,10/07/2016,10/21/2016,USD
07/05/2016,Cash,$0.15,06/23/2016,07/07/2016,07/21/2016,USD
04/05/2016,Cash,$0.15,03/24/2016,04/07/2016,04/21/2016,USD
01/05/2016,Cash,$0.15,12/17/2015,01/07/2016,01/21/2016,USD
10/02/2015,Cash,$0.12,09/23/2015,10/06/2015,10/20/2015,USD
07/02/2015,Cash,$0.12,06/23/2015,07/07/2015,07/21/2015,USD
04/02/2015,Cash,$0.12,03/19/2015,04/07/2015,04/21/2015,USD
01/02/2015,Cash,$0.10,12/18/2014,01/06/2015,01/20/2015,USD
10/02/2014,Cash,$0.10,09/26/2014,10/06/2014,10/20/2014,USD
05/23/2001,Cash,$0.38,04/10/2001,05/12/2001,05/15/2001,USD
