Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
10/01/2025,Cash,$0.20,09/18/2025,10/01/2025,10/20/2025,USD
07/01/2025,Cash,$0.20,06/18/2025,07/01/2025,07/20/2025,USD
04/01/2025,Cash,$0.20,03/10/2025,04/01/2025,04/21/2025,USD
01/07/2025,Cash,$0.20,12/03/2024,01/07/2025,01/21/2025,USD
10/01/2024,Cash,$0.20,09/18/2024,10/01/2024,10/21/2024,USD
07/01/2024,Cash,$0.20,06/19/2024,07/01/2024,07/19/2024,USD
04/01/2024,Cash,$0.20,03/15/2024,04/02/2024,04/19/2024,USD
01/04/2024,Cash,$0.20,12/13/2023,01/05/2024,01/19/2024,USD
09/29/2023,Cash,$0.20,09/20/2023,10/02/2023,10/20/2023,USD
06/30/2023,Cash,$0.20,N/A,07/03/2023,07/20/2023,USD
03/31/2023,Cash,$0.20,03/22/2023,04/03/2023,04/20/2023,USD
01/05/2023,Cash,$0.20,12/21/2022,01/06/2023,01/25/2023,USD
09/30/2022,Cash,$0.20,09/13/2022,10/03/2022,10/20/2022,USD
06/30/2022,Cash,$0.20,06/15/2022,07/01/2022,07/20/2022,USD
04/07/2022,Cash,$0.20,03/28/2022,04/08/2022,04/20/2022,USD
12/31/2021,Cash,$0.20,12/15/2021,01/03/2022,01/20/2022,USD
09/30/2021,Cash,$0.20,09/13/2021,10/01/2021,10/20/2021,USD
06/30/2021,Cash,$0.20,06/18/2021,07/01/2021,07/20/2021,USD
03/31/2021,Cash,$0.20,03/18/2021,04/01/2021,04/20/2021,USD
12/31/2020,Cash,$0.20,12/17/2020,01/04/2021,01/20/2021,USD
09/30/2020,Cash,$0.20,09/14/2020,10/01/2020,10/20/2020,USD
06/30/2020,Cash,$0.20,06/18/2020,07/01/2020,07/20/2020,USD
03/31/2020,Cash,$0.20,03/16/2020,04/01/2020,04/20/2020,USD
12/31/2019,Cash,$0.20,12/10/2019,01/02/2020,01/21/2020,USD
09/30/2019,Cash,$0.20,09/17/2019,10/01/2019,10/18/2019,USD
06/28/2019,Cash,$0.20,06/19/2019,07/01/2019,07/19/2019,USD
04/01/2019,Cash,$0.20,03/13/2019,04/02/2019,04/18/2019,USD
12/31/2018,Cash,$0.20,12/12/2018,01/02/2019,01/18/2019,USD
10/01/2018,Cash,$0.20,09/12/2018,10/02/2018,10/19/2018,USD
06/29/2018,Cash,$0.20,06/11/2018,07/02/2018,07/20/2018,USD
03/29/2018,Cash,$0.20,03/16/2018,04/02/2018,04/20/2018,USD
12/29/2017,Cash,$0.20,12/13/2017,01/02/2018,01/19/2018,USD
09/29/2017,Cash,$0.20,09/20/2017,10/02/2017,10/20/2017,USD
06/29/2017,Cash,$0.20,06/19/2017,07/03/2017,07/20/2017,USD
03/30/2017,Cash,$0.20,03/16/2017,04/03/2017,04/20/2017,USD
12/29/2016,Cash,$0.20,12/14/2016,01/03/2017,01/20/2017,USD
09/29/2016,Cash,$0.20,09/13/2016,10/03/2016,10/20/2016,USD
06/29/2016,Cash,$0.20,06/16/2016,07/01/2016,07/20/2016,USD
03/30/2016,Cash,$0.20,03/22/2016,04/01/2016,04/20/2016,USD
12/30/2015,Cash,$0.20,12/09/2015,01/04/2016,01/20/2016,USD
09/29/2015,Cash,$0.20,09/11/2015,10/01/2015,10/20/2015,USD
06/29/2015,Cash,$0.20,06/11/2015,07/01/2015,07/20/2015,USD
03/30/2015,Cash,$0.20,03/18/2015,04/01/2015,04/20/2015,USD
12/30/2014,Cash,$0.20,12/10/2014,01/02/2015,01/20/2015,USD
09/29/2014,Cash,$0.20,09/12/2014,10/01/2014,10/17/2014,USD
06/27/2014,Cash,$0.20,06/09/2014,07/01/2014,07/18/2014,USD
03/28/2014,Cash,$0.20,03/19/2014,04/01/2014,04/18/2014,USD
12/30/2013,Cash,$0.20,12/11/2013,01/02/2014,01/17/2014,USD
09/27/2013,Cash,$0.20,09/19/2013,10/01/2013,10/18/2013,USD
06/27/2013,Cash,$0.20,06/19/2013,07/01/2013,07/19/2013,USD
12/20/2012,Cash,$0.40,12/12/2012,12/24/2012,12/28/2012,USD
03/28/2003,Cash,$0.20,N/A,03/28/2003,N/A,USD
12/30/2002,Cash,$0.20,N/A,12/30/2002,N/A,USD
09/27/2002,Cash,$0.20,N/A,09/27/2002,N/A,USD
06/27/2002,Cash,$0.20,N/A,06/27/2002,N/A,USD
03/27/2002,Cash,$0.20,N/A,03/27/2002,N/A,USD
12/28/2001,Cash,$0.20,N/A,12/28/2001,N/A,USD
09/27/2001,Cash,$0.20,N/A,09/27/2001,N/A,USD
06/28/2001,Cash,$0.20,05/07/2001,07/02/2001,07/20/2001,USD
03/29/2001,Cash,$0.15,02/21/2001,04/02/2001,04/20/2001,USD
12/29/2000,Cash,$0.15,12/15/2000,01/03/2001,01/19/2001,USD
09/28/2000,Cash,$0.15,08/21/2000,10/02/2000,10/20/2000,USD
06/30/2000,Cash,$0.15,04/24/2000,07/05/2000,07/20/2000,USD
03/30/2000,Cash,$0.15,02/16/2000,04/03/2000,04/20/2000,USD
12/30/1999,Cash,$0.15,12/15/1999,01/03/2000,01/20/2000,USD
09/29/1999,Cash,$0.15,08/24/1999,10/01/1999,10/19/1999,USD
06/29/1999,Cash,$0.15,04/26/1999,07/01/1999,07/20/1999,USD
03/30/1999,Cash,$0.15,02/17/1999,04/01/1999,04/20/1999,USD
12/30/1998,Cash,$0.15,12/09/1998,01/04/1999,01/19/1999,USD
09/29/1998,Cash,$0.15,09/11/1998,10/01/1998,10/20/1998,USD
