Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/12/2025,Cash,$1.25,10/29/2025,11/12/2025,11/26/2025,USD
08/14/2025,Cash,$1.25,07/30/2025,08/14/2025,08/28/2025,USD
05/15/2025,Cash,$1.25,04/30/2025,05/15/2025,05/29/2025,USD
03/12/2025,Cash,$1.20,02/26/2025,03/12/2025,03/26/2025,USD
11/13/2024,Cash,$1.20,10/30/2024,11/13/2024,11/27/2024,USD
08/15/2024,Cash,$1.20,07/30/2024,08/15/2024,08/29/2024,USD
05/15/2024,Cash,$1.20,05/01/2024,05/16/2024,05/30/2024,USD
03/13/2024,Cash,$1.10,02/28/2024,03/14/2024,03/28/2024,USD
11/07/2023,Cash,$1.10,10/25/2023,11/08/2023,11/22/2023,USD
08/09/2023,Cash,$1.10,07/26/2023,08/10/2023,08/24/2023,USD
05/16/2023,Cash,$1.10,05/04/2023,05/17/2023,05/31/2023,USD
03/14/2023,Cash,$1.00,02/24/2023,03/15/2023,03/29/2023,USD
11/09/2022,Cash,$1.00,10/27/2022,11/10/2022,11/23/2022,USD
08/10/2022,Cash,$1.00,07/28/2022,08/11/2022,08/25/2022,USD
05/13/2022,Cash,$1.00,05/04/2022,05/16/2022,05/27/2022,USD
03/09/2022,Cash,$0.80,02/25/2022,03/10/2022,03/24/2022,USD
11/09/2021,Cash,$0.80,10/28/2021,11/11/2021,11/24/2021,USD
08/11/2021,Cash,$0.80,07/29/2021,08/12/2021,08/26/2021,USD
05/14/2021,Cash,$0.80,05/04/2021,05/17/2021,05/28/2021,USD
03/10/2021,Cash,$0.58,02/25/2021,03/11/2021,03/25/2021,USD
11/10/2020,Cash,$0.58,10/30/2020,11/12/2020,11/25/2020,USD
08/12/2020,Cash,$0.58,07/31/2020,08/13/2020,08/27/2020,USD
05/14/2020,Cash,$0.58,04/23/2020,05/15/2020,05/29/2020,USD
03/11/2020,Cash,$0.55,02/28/2020,03/12/2020,03/26/2020,USD
11/13/2019,Cash,$0.55,10/31/2019,11/14/2019,11/27/2019,USD
08/14/2019,Cash,$0.55,07/31/2019,08/15/2019,08/29/2019,USD
05/16/2019,Cash,$0.55,05/01/2019,05/17/2019,05/31/2019,USD
03/13/2019,Cash,$0.45,02/27/2019,03/14/2019,03/28/2019,USD
11/14/2018,Cash,$0.45,10/30/2018,11/15/2018,11/29/2018,USD
08/13/2018,Cash,$0.45,07/26/2018,08/14/2018,08/28/2018,USD
05/17/2018,Cash,$0.45,05/02/2018,05/18/2018,06/01/2018,USD
03/15/2018,Cash,$0.37,02/28/2018,03/16/2018,03/29/2018,USD
11/14/2017,Cash,$0.37,10/30/2017,11/15/2017,11/28/2017,USD
08/07/2017,Cash,$0.37,07/25/2017,08/09/2017,08/23/2017,USD
05/15/2017,Cash,$0.37,05/02/2017,05/17/2017,05/31/2017,USD
03/13/2017,Cash,$0.31,03/01/2017,03/15/2017,03/29/2017,USD
11/07/2016,Cash,$0.31,10/26/2016,11/09/2016,11/23/2016,USD
08/08/2016,Cash,$0.31,07/28/2016,08/10/2016,08/24/2016,USD
05/17/2016,Cash,$0.31,05/04/2016,05/19/2016,06/02/2016,USD
03/14/2016,Cash,$0.26,02/25/2016,03/16/2016,03/30/2016,USD
11/06/2015,Cash,$0.26,10/28/2015,11/10/2015,11/24/2015,USD
08/10/2015,Cash,$0.26,07/31/2015,08/12/2015,08/26/2015,USD
05/18/2015,Cash,$0.26,05/06/2015,05/20/2015,06/03/2015,USD
03/10/2015,Cash,$0.22,02/26/2015,03/12/2015,03/26/2015,USD
11/07/2014,Cash,$0.22,10/30/2014,11/12/2014,11/26/2014,USD
08/11/2014,Cash,$0.22,07/30/2014,08/13/2014,08/27/2014,USD
05/19/2014,Cash,$0.22,05/07/2014,05/21/2014,06/04/2014,USD
03/11/2014,Cash,$0.19,02/27/2014,03/13/2014,03/27/2014,USD
11/08/2013,Cash,$0.19,11/01/2013,11/13/2013,11/27/2013,USD
08/12/2013,Cash,$0.19,08/01/2013,08/14/2013,08/28/2013,USD
