Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/28/2025,Cash,$0.21,N/A,11/28/2025,12/31/2025,USD
08/29/2025,Cash,$0.21,N/A,08/29/2025,09/30/2025,USD
05/30/2025,Cash,$0.21,N/A,05/30/2025,06/30/2025,USD
02/28/2025,Cash,$0.21,N/A,02/28/2025,03/31/2025,USD
11/29/2024,Cash,$0.21,N/A,11/29/2024,12/31/2024,USD
08/30/2024,Cash,$0.20,N/A,08/30/2024,09/30/2024,USD
05/31/2024,Cash,$0.20,N/A,05/31/2024,06/28/2024,USD
02/28/2024,Cash,$0.20,N/A,02/29/2024,03/28/2024,USD
11/29/2023,Cash,$0.20,N/A,11/30/2023,12/29/2023,USD
08/30/2023,Cash,$0.19,N/A,08/31/2023,09/29/2023,USD
05/30/2023,Cash,$0.19,N/A,05/31/2023,06/30/2023,USD
02/27/2023,Cash,$0.19,N/A,02/28/2023,03/31/2023,USD
11/29/2022,Cash,$0.18,N/A,11/30/2022,12/30/2022,USD
08/30/2022,Cash,$0.18,N/A,08/31/2022,09/30/2022,USD
05/27/2022,Cash,$0.18,N/A,05/31/2022,06/30/2022,USD
02/25/2022,Cash,$0.18,N/A,02/28/2022,03/31/2022,USD
11/29/2021,Cash,$0.15,N/A,11/30/2021,12/31/2021,USD
08/30/2021,Cash,$0.13,N/A,08/31/2021,09/30/2021,USD
05/27/2021,Cash,$0.13,N/A,05/28/2021,06/30/2021,USD
02/25/2021,Cash,$0.13,N/A,02/26/2021,03/31/2021,USD
11/27/2020,Cash,$0.11,N/A,11/30/2020,12/31/2020,USD
08/28/2020,Cash,$0.11,N/A,08/31/2020,09/30/2020,USD
05/28/2020,Cash,$0.21,N/A,05/29/2020,06/30/2020,USD
02/27/2020,Cash,$0.19,N/A,02/28/2020,03/31/2020,USD
11/27/2019,Cash,$0.19,N/A,11/29/2019,12/31/2019,USD
08/29/2019,Cash,$0.17,N/A,08/30/2019,09/30/2019,USD
05/30/2019,Cash,$0.17,01/29/2019,05/31/2019,06/28/2019,USD
02/27/2019,Cash,$0.17,01/29/2019,02/28/2019,03/29/2019,USD
11/29/2018,Cash,$0.16,01/30/2018,11/30/2018,12/31/2018,USD
08/30/2018,Cash,$0.16,01/30/2018,08/31/2018,09/28/2018,USD
05/30/2018,Cash,$0.16,01/30/2018,05/31/2018,06/29/2018,USD
02/27/2018,Cash,$0.16,01/30/2018,02/28/2018,03/30/2018,USD
11/29/2017,Cash,$0.14,01/31/2017,11/30/2017,12/29/2017,USD
08/29/2017,Cash,$0.14,01/31/2017,08/31/2017,09/29/2017,USD
05/26/2017,Cash,$0.14,01/31/2017,05/31/2017,06/30/2017,USD
02/24/2017,Cash,$0.14,01/31/2017,02/28/2017,03/31/2017,USD
11/28/2016,Cash,$0.13,02/04/2016,11/30/2016,12/30/2016,USD
08/29/2016,Cash,$0.13,02/04/2016,08/31/2016,09/30/2016,USD
05/26/2016,Cash,$0.13,02/04/2016,05/31/2016,06/30/2016,USD
02/25/2016,Cash,$0.13,02/04/2016,02/29/2016,03/31/2016,USD
11/25/2015,Cash,$0.12,04/22/2014,11/30/2015,12/31/2015,USD
08/27/2015,Cash,$0.12,04/22/2014,08/31/2015,09/30/2015,USD
05/27/2015,Cash,$0.12,04/22/2014,05/29/2015,06/30/2015,USD
02/25/2015,Cash,$0.12,04/22/2014,02/27/2015,03/31/2015,USD
11/25/2014,Cash,$0.12,04/22/2014,11/28/2014,12/31/2014,USD
08/27/2014,Cash,$0.12,04/22/2014,08/29/2014,09/30/2014,USD
05/28/2014,Cash,$0.10,10/22/2013,05/30/2014,06/30/2014,USD
02/26/2014,Cash,$0.10,10/22/2013,02/28/2014,03/31/2014,USD
11/26/2013,Cash,$0.08,01/22/2013,11/29/2013,12/31/2013,USD
08/28/2013,Cash,$0.08,01/22/2013,08/30/2013,09/30/2013,USD
02/26/2013,Cash,$0.08,01/22/2013,02/28/2013,03/29/2013,USD
