Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
01/28/2026,Cash,$0.045,11/04/2025,01/28/2026,02/18/2026,USD
12/29/2025,Cash,$0.045,11/04/2025,12/29/2025,01/21/2026,USD
11/25/2025,Cash,$0.045,11/04/2025,11/25/2025,12/18/2025,USD
10/29/2025,Cash,$0.045,08/22/2025,10/29/2025,11/18/2025,USD
09/26/2025,Cash,$0.045,08/22/2025,09/26/2025,10/22/2025,USD
08/27/2025,Cash,$0.045,05/06/2025,08/27/2025,09/18/2025,USD
07/29/2025,Cash,$0.045,05/06/2025,07/29/2025,08/20/2025,USD
06/26/2025,Cash,$0.045,05/06/2025,06/26/2025,07/22/2025,USD
05/28/2025,Cash,$0.045,05/06/2025,05/28/2025,06/18/2025,USD
04/28/2025,Cash,$0.045,02/06/2025,04/28/2025,05/20/2025,USD
03/27/2025,Cash,$0.045,02/06/2025,03/27/2025,04/17/2025,USD
02/26/2025,Cash,$0.045,02/06/2025,02/26/2025,03/20/2025,USD
01/29/2025,Cash,$0.045,11/05/2024,01/29/2025,02/19/2025,USD
12/27/2024,Cash,$0.045,11/05/2024,12/27/2024,01/22/2025,USD
11/26/2024,Cash,$0.045,11/05/2024,11/26/2024,12/19/2024,USD
10/29/2024,Cash,$0.06,08/27/2024,10/29/2024,11/19/2024,USD
09/26/2024,Cash,$0.06,08/27/2024,09/26/2024,10/22/2024,USD
08/28/2024,Cash,$0.06,05/07/2024,08/28/2024,09/19/2024,USD
07/29/2024,Cash,$0.06,05/07/2024,07/29/2024,08/21/2024,USD
06/26/2024,Cash,$0.06,05/07/2024,06/26/2024,07/18/2024,USD
05/29/2024,Cash,$0.06,05/07/2024,05/29/2024,06/18/2024,USD
04/25/2024,Cash,$0.06,02/08/2024,04/26/2024,05/21/2024,USD
03/26/2024,Cash,$0.06,02/08/2024,03/27/2024,04/18/2024,USD
02/26/2024,Cash,$0.06,02/08/2024,02/27/2024,03/20/2024,USD
01/26/2024,Cash,$0.06,11/07/2023,01/29/2024,02/20/2024,USD
12/26/2023,Cash,$0.06,11/07/2023,12/27/2023,01/18/2024,USD
11/27/2023,Cash,$0.06,11/07/2023,11/28/2023,12/19/2023,USD
10/26/2023,Cash,$0.06,08/29/2023,10/27/2023,11/20/2023,USD
09/26/2023,Cash,$0.06,08/29/2023,09/27/2023,10/19/2023,USD
08/28/2023,Cash,$0.06,05/08/2023,08/29/2023,09/20/2023,USD
07/26/2023,Cash,$0.06,05/08/2023,07/27/2023,08/22/2023,USD
06/27/2023,Cash,$0.06,05/08/2023,06/28/2023,07/20/2023,USD
05/25/2023,Cash,$0.06,05/08/2023,05/26/2023,06/21/2023,USD
04/25/2023,Cash,$0.06,02/07/2023,04/26/2023,05/18/2023,USD
03/28/2023,Cash,$0.06,02/07/2023,03/29/2023,04/19/2023,USD
02/23/2023,Cash,$0.06,02/07/2023,02/24/2023,03/22/2023,USD
