Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/17/2025,Cash,$0.07,11/07/2025,11/17/2025,12/15/2025,USD
08/29/2025,Cash,$0.07,08/01/2025,08/29/2025,09/10/2025,USD
05/14/2025,Cash,$0.07,05/02/2025,05/14/2025,05/30/2025,USD
02/18/2025,Cash,$0.07,02/07/2025,02/18/2025,03/10/2025,USD
12/04/2024,Cash,$0.07,11/08/2024,12/04/2024,12/18/2024,USD
09/05/2024,Cash,$0.07,08/02/2024,09/05/2024,09/16/2024,USD
05/24/2024,Cash,$0.07,05/03/2024,05/28/2024,06/10/2024,USD
02/27/2024,Cash,$0.07,02/08/2024,02/28/2024,03/11/2024,USD
11/22/2023,Cash,$0.07,11/07/2023,11/24/2023,12/08/2023,USD
08/31/2023,Cash,$0.07,08/03/2023,09/01/2023,09/12/2023,USD
05/25/2023,Cash,$0.07,05/04/2023,05/26/2023,06/09/2023,USD
02/27/2023,Cash,$0.07,02/09/2023,02/28/2023,03/10/2023,USD
11/23/2022,Cash,$0.07,11/03/2022,11/25/2022,12/09/2022,USD
09/01/2022,Cash,$0.07,08/04/2022,09/02/2022,09/12/2022,USD
05/18/2022,Cash,$0.07,05/05/2022,05/19/2022,06/02/2022,USD
03/02/2022,Cash,$0.07,02/17/2022,03/03/2022,03/17/2022,USD
12/02/2021,Cash,$0.07,11/04/2021,12/03/2021,12/17/2021,USD
09/02/2021,Cash,$0.07,08/12/2021,09/03/2021,09/21/2021,USD
