Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/17/2025,Cash,$0.46,10/29/2025,11/17/2025,11/28/2025,USD
08/18/2025,Cash,$0.46,08/01/2025,08/18/2025,08/29/2025,USD
05/19/2025,Cash,$0.46,05/01/2025,05/19/2025,05/30/2025,USD
02/10/2025,Cash,$0.46,01/24/2025,02/10/2025,02/21/2025,USD
11/18/2024,Cash,$0.46,10/29/2024,11/18/2024,11/29/2024,USD
08/19/2024,Cash,$0.46,07/31/2024,08/19/2024,08/30/2024,USD
05/17/2024,Cash,$0.46,05/02/2024,05/20/2024,05/31/2024,USD
02/09/2024,Cash,$0.46,01/29/2024,02/12/2024,02/23/2024,USD
11/10/2023,Cash,$0.46,10/24/2023,11/13/2023,11/24/2023,USD
08/11/2023,Cash,$0.46,07/31/2023,08/14/2023,08/25/2023,USD
05/12/2023,Cash,$0.42,04/25/2023,05/15/2023,05/26/2023,USD
02/03/2023,Cash,$0.42,01/26/2023,02/06/2023,02/17/2023,USD
11/10/2022,Cash,$0.42,10/27/2022,11/14/2022,11/25/2022,USD
08/12/2022,Cash,$0.42,08/03/2022,08/15/2022,08/26/2022,USD
05/13/2022,Cash,$0.35,04/26/2022,05/16/2022,05/27/2022,USD
02/04/2022,Cash,$0.35,01/26/2022,02/07/2022,02/18/2022,USD
11/08/2021,Cash,$0.35,10/28/2021,11/09/2021,11/19/2021,USD
08/13/2021,Cash,$0.35,08/03/2021,08/16/2021,08/27/2021,USD
05/10/2021,Cash,$0.225,04/27/2021,05/11/2021,05/21/2021,USD
02/05/2021,Cash,$0.225,01/25/2021,02/08/2021,02/19/2021,USD
11/09/2020,Cash,$0.225,10/30/2020,11/10/2020,11/20/2020,USD
08/10/2020,Cash,$0.225,07/31/2020,08/11/2020,08/21/2020,USD
05/08/2020,Cash,$0.225,04/30/2020,05/11/2020,05/22/2020,USD
02/07/2020,Cash,$0.225,01/14/2020,02/10/2020,02/21/2020,USD
11/07/2019,Cash,$0.225,10/22/2019,11/11/2019,11/22/2019,USD
08/09/2019,Cash,$0.225,07/18/2019,08/12/2019,08/23/2019,USD
05/10/2019,Cash,$0.225,04/30/2019,05/13/2019,05/24/2019,USD
02/08/2019,Cash,$0.225,01/17/2019,02/11/2019,02/22/2019,USD
11/08/2018,Cash,$0.225,10/30/2018,11/12/2018,11/23/2018,USD
08/10/2018,Cash,$0.225,08/01/2018,08/13/2018,08/24/2018,USD
05/11/2018,Cash,$0.225,05/02/2018,05/14/2018,05/25/2018,USD
02/09/2018,Cash,$0.225,01/30/2018,02/12/2018,02/23/2018,USD
11/06/2017,Cash,$0.225,10/27/2017,11/07/2017,11/17/2017,USD
08/03/2017,Cash,$0.225,07/27/2017,08/07/2017,08/18/2017,USD
05/04/2017,Cash,$0.20,04/27/2017,05/08/2017,05/19/2017,USD
02/02/2017,Cash,$0.20,01/25/2017,02/06/2017,02/17/2017,USD
11/03/2016,Cash,$0.20,10/26/2016,11/07/2016,11/18/2016,USD
08/04/2016,Cash,$0.20,07/28/2016,08/08/2016,08/19/2016,USD
05/05/2016,Cash,$0.175,04/28/2016,05/09/2016,05/20/2016,USD
02/04/2016,Cash,$0.175,01/27/2016,02/08/2016,02/19/2016,USD
11/06/2015,Cash,$0.175,10/30/2015,11/10/2015,11/20/2015,USD
08/07/2015,Cash,$0.175,07/30/2015,08/11/2015,08/21/2015,USD
05/07/2015,Cash,$0.14,04/29/2015,05/11/2015,05/22/2015,USD
02/05/2015,Cash,$0.14,01/27/2015,02/09/2015,02/20/2015,USD
11/07/2014,Cash,$0.14,10/29/2014,11/12/2014,11/21/2014,USD
08/11/2014,Cash,$0.14,07/31/2014,08/13/2014,08/22/2014,USD
05/08/2014,Cash,$0.125,04/29/2014,05/12/2014,05/23/2014,USD
02/06/2014,Cash,$0.125,01/29/2014,02/10/2014,02/21/2014,USD
11/06/2013,Cash,$0.25,10/29/2013,11/11/2013,11/22/2013,USD
09/04/2013,Cash,$0.25,08/02/2013,09/06/2013,09/20/2013,USD
