Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
01/16/2026,Cash,$0.3672,10/27/2025,01/16/2026,01/30/2026,USD
10/16/2025,Cash,$0.3672,08/05/2025,10/16/2025,10/31/2025,USD
07/16/2025,Cash,$0.3672,05/06/2025,07/16/2025,07/31/2025,USD
04/15/2025,Cash,$0.3672,02/04/2025,04/15/2025,04/30/2025,USD
01/16/2025,Cash,$0.3672,11/05/2024,01/16/2025,01/31/2025,USD
10/16/2024,Cash,$0.3672,07/31/2024,10/16/2024,10/31/2024,USD
07/16/2024,Cash,$0.3672,05/01/2024,07/16/2024,07/31/2024,USD
04/12/2024,Cash,$0.3672,02/07/2024,04/15/2024,04/30/2024,USD
01/12/2024,Cash,$0.3672,11/02/2023,01/16/2024,01/31/2024,USD
10/13/2023,Cash,$0.3672,09/25/2023,10/16/2023,10/31/2023,USD
