Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/14/2025,Cash,$0.23,10/23/2025,11/14/2025,11/28/2025,USD
08/15/2025,Cash,$0.23,07/24/2025,08/15/2025,08/29/2025,USD
05/16/2025,Cash,$0.23,04/24/2025,05/16/2025,05/30/2025,USD
02/14/2025,Cash,$0.23,01/30/2025,02/14/2025,02/28/2025,USD
11/15/2024,Cash,$0.23,10/24/2024,11/15/2024,11/29/2024,USD
08/16/2024,Cash,$0.23,07/25/2024,08/16/2024,08/30/2024,USD
05/16/2024,Cash,$0.23,04/25/2024,05/17/2024,05/31/2024,USD
02/14/2024,Cash,$0.23,01/25/2024,02/15/2024,02/29/2024,USD
11/15/2023,Cash,$0.23,10/26/2023,11/16/2023,11/30/2023,USD
08/16/2023,Cash,$0.23,07/27/2023,08/17/2023,08/31/2023,USD
05/16/2023,Cash,$0.23,04/27/2023,05/17/2023,05/31/2023,USD
02/13/2023,Cash,$0.23,01/26/2023,02/14/2023,02/28/2023,USD
11/15/2022,Cash,$0.23,10/27/2022,11/16/2022,11/30/2022,USD
08/16/2022,Cash,$0.23,07/28/2022,08/17/2022,08/31/2022,USD
05/16/2022,Cash,$0.23,04/28/2022,05/17/2022,05/31/2022,USD
02/11/2022,Cash,$0.23,01/27/2022,02/14/2022,02/28/2022,USD
11/15/2021,Cash,$0.23,10/28/2021,11/16/2021,11/30/2021,USD
08/16/2021,Cash,$0.23,07/29/2021,08/17/2021,08/31/2021,USD
05/12/2021,Cash,$0.23,04/29/2021,05/13/2021,05/27/2021,USD
02/22/2021,Cash,$0.23,02/08/2021,02/23/2021,03/09/2021,USD
11/13/2020,Cash,$0.22,10/28/2020,11/16/2020,11/30/2020,USD
08/13/2020,Cash,$0.22,N/A,08/16/2020,08/31/2020,USD
03/13/2020,Cash,$0.15,N/A,03/16/2020,04/30/2020,USD
