Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
03/28/2003,Cash,$0.04,N/A,03/28/2003,N/A,USD
12/30/2002,Cash,$0.04,N/A,12/30/2002,N/A,USD
09/27/2002,Cash,$0.04,N/A,09/27/2002,N/A,USD
06/27/2002,Cash,$0.04,N/A,06/27/2002,N/A,USD
03/27/2002,Cash,$0.035,N/A,03/27/2002,N/A,USD
12/28/2001,Cash,$0.035,N/A,12/28/2001,N/A,USD
09/26/2001,Cash,$0.035,N/A,09/26/2001,N/A,USD
06/14/2001,Cash,$0.035,N/A,06/14/2001,N/A,USD
03/15/2001,Cash,$0.03,N/A,03/15/2001,N/A,USD
12/18/2000,Cash,$0.03,N/A,12/18/2000,N/A,USD
09/14/2000,Cash,$0.03,N/A,09/14/2000,N/A,USD
06/14/2000,Cash,$0.03,N/A,06/14/2000,N/A,USD
03/15/2000,Cash,$0.025,N/A,03/15/2000,N/A,USD
12/20/1999,Cash,$0.025,N/A,12/20/1999,N/A,USD
09/14/1999,Cash,$0.025,N/A,09/14/1999,N/A,USD
06/14/1999,Cash,$0.025,N/A,06/14/1999,N/A,USD
02/22/1999,Cash,$0.05,N/A,02/22/1999,N/A,USD
