Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
01/02/2026,Cash,$0.91,11/05/2025,01/02/2026,01/16/2026,USD
10/03/2025,Cash,$0.825,08/06/2025,10/03/2025,10/17/2025,USD
07/08/2025,Cash,$0.825,06/11/2025,07/08/2025,07/22/2025,USD
04/04/2025,Cash,$0.825,03/07/2025,04/04/2025,04/22/2025,USD
01/03/2025,Cash,$0.825,11/06/2024,01/03/2025,01/17/2025,USD
10/08/2024,Cash,$0.75,09/18/2024,10/08/2024,10/21/2024,USD
07/08/2024,Cash,$0.75,06/12/2024,07/08/2024,07/22/2024,USD
04/04/2024,Cash,$0.75,03/14/2024,04/05/2024,04/22/2024,USD
01/08/2024,Cash,$0.75,11/09/2023,01/09/2024,01/23/2024,USD
10/05/2023,Cash,$0.6825,09/27/2023,10/09/2023,10/23/2023,USD
07/07/2023,Cash,$0.6825,N/A,07/10/2023,07/24/2023,USD
04/05/2023,Cash,$0.6825,03/16/2023,04/06/2023,04/21/2023,USD
01/06/2023,Cash,$0.6825,11/10/2022,01/09/2023,01/23/2023,USD
10/05/2022,Cash,$0.62,09/16/2022,10/06/2022,10/21/2022,USD
07/07/2022,Cash,$0.62,06/16/2022,07/08/2022,07/22/2022,USD
04/04/2022,Cash,$0.62,03/17/2022,04/05/2022,04/22/2022,USD
01/07/2022,Cash,$0.62,11/10/2021,01/10/2022,01/24/2022,USD
10/05/2021,Cash,$0.5625,09/17/2021,10/06/2021,10/20/2021,USD
07/07/2021,Cash,$0.5625,06/10/2021,07/08/2021,07/23/2021,USD
04/01/2021,Cash,$0.5625,03/19/2021,04/05/2021,04/22/2021,USD
01/07/2021,Cash,$0.5625,11/11/2020,01/08/2021,01/22/2021,USD
10/05/2020,Cash,$0.5125,09/18/2020,10/06/2020,10/20/2020,USD
07/07/2020,Cash,$0.5125,06/09/2020,07/08/2020,07/22/2020,USD
04/07/2020,Cash,$0.5125,03/13/2020,04/08/2020,04/22/2020,USD
01/08/2020,Cash,$0.5125,11/12/2019,01/09/2020,01/23/2020,USD
10/03/2019,Cash,$0.4625,09/18/2019,10/04/2019,10/22/2019,USD
07/05/2019,Cash,$0.4625,06/13/2019,07/08/2019,07/24/2019,USD
04/05/2019,Cash,$0.4625,03/15/2019,04/08/2019,04/22/2019,USD
01/08/2019,Cash,$0.4625,11/07/2018,01/09/2019,01/23/2019,USD
10/04/2018,Cash,$0.4125,09/19/2018,10/08/2018,10/22/2018,USD
07/06/2018,Cash,$0.4125,06/07/2018,07/09/2018,07/23/2018,USD
04/06/2018,Cash,$0.4125,03/08/2018,04/09/2018,04/23/2018,USD
01/08/2018,Cash,$0.4125,12/15/2017,01/09/2018,01/23/2018,USD
10/05/2017,Cash,$0.35,09/20/2017,10/06/2017,10/20/2017,USD
07/05/2017,Cash,$0.35,06/08/2017,07/07/2017,07/21/2017,USD
04/05/2017,Cash,$0.35,03/08/2017,04/07/2017,04/21/2017,USD
01/05/2017,Cash,$0.35,11/22/2016,01/09/2017,01/23/2017,USD
10/05/2016,Cash,$0.30,09/13/2016,10/07/2016,10/21/2016,USD
07/06/2016,Cash,$0.30,06/14/2016,07/08/2016,07/22/2016,USD
04/06/2016,Cash,$0.30,03/15/2016,04/08/2016,04/22/2016,USD
01/06/2016,Cash,$0.30,12/17/2015,01/08/2016,01/22/2016,USD
10/07/2015,Cash,$0.25,09/09/2015,10/09/2015,10/23/2015,USD
07/08/2015,Cash,$0.25,06/16/2015,07/10/2015,07/24/2015,USD
04/08/2015,Cash,$0.25,03/16/2015,04/10/2015,04/24/2015,USD
01/07/2015,Cash,$0.25,12/17/2014,01/09/2015,01/23/2015,USD
10/08/2014,Cash,$0.20,09/16/2014,10/10/2014,10/24/2014,USD
07/09/2014,Cash,$0.20,06/18/2014,07/11/2014,07/25/2014,USD
04/09/2014,Cash,$0.20,03/17/2014,04/11/2014,04/25/2014,USD
01/08/2014,Cash,$0.20,12/16/2013,01/10/2014,01/24/2014,USD
10/09/2013,Cash,$0.165,09/17/2013,10/11/2013,10/25/2013,USD
07/10/2013,Cash,$0.165,06/17/2013,07/12/2013,07/26/2013,USD
04/10/2013,Cash,$0.165,03/19/2013,04/12/2013,04/26/2013,USD
12/19/2012,Cash,$0.165,12/07/2012,12/21/2012,12/28/2012,USD
10/10/2012,Cash,$0.1375,09/07/2012,10/12/2012,10/26/2012,USD
07/11/2012,Cash,$0.1375,06/13/2012,07/13/2012,07/27/2012,USD
04/11/2012,Cash,$0.1375,03/19/2012,04/13/2012,04/27/2012,USD
01/04/2012,Cash,$0.1375,11/15/2011,01/06/2012,01/27/2012,USD
10/05/2011,Cash,$0.11,08/12/2011,10/07/2011,10/28/2011,USD
07/06/2011,Cash,$0.11,06/15/2011,07/08/2011,07/29/2011,USD
04/06/2011,Cash,$0.11,03/16/2011,04/08/2011,04/22/2011,USD
01/05/2011,Cash,$0.11,11/10/2010,01/07/2011,01/28/2011,USD
10/06/2010,Cash,$0.095,08/10/2010,10/08/2010,10/29/2010,USD
07/07/2010,Cash,$0.095,06/16/2010,07/09/2010,07/30/2010,USD
04/07/2010,Cash,$0.095,01/25/2010,04/09/2010,04/23/2010,USD
01/06/2010,Cash,$0.095,11/11/2009,01/08/2010,01/29/2010,USD
10/07/2009,Cash,$0.0825,08/14/2009,10/09/2009,10/30/2009,USD
07/08/2009,Cash,$0.0825,05/20/2009,07/10/2009,07/31/2009,USD
04/07/2009,Cash,$0.0825,02/12/2009,04/10/2009,04/24/2009,USD
01/07/2009,Cash,$0.0825,11/18/2008,01/09/2009,01/30/2009,USD
10/08/2008,Cash,$0.0725,08/14/2008,10/10/2008,10/31/2008,USD
