Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/15/2025,Cash,$0.19,N/A,12/15/2025,12/31/2025,USD
09/15/2025,Cash,$0.18,N/A,09/15/2025,09/30/2025,USD
06/13/2025,Cash,$0.18,N/A,06/13/2025,06/30/2025,USD
03/14/2025,Cash,$0.18,N/A,03/14/2025,03/31/2025,USD
12/13/2024,Cash,$0.18,N/A,12/13/2024,12/31/2024,USD
09/13/2024,Cash,$0.18,N/A,09/13/2024,09/30/2024,USD
06/14/2024,Cash,$0.18,N/A,06/14/2024,06/28/2024,USD
03/14/2024,Cash,$0.18,N/A,03/15/2024,03/29/2024,USD
12/14/2023,Cash,$0.18,N/A,12/15/2023,12/29/2023,USD
09/14/2023,Cash,$0.18,N/A,09/15/2023,09/29/2023,USD
06/14/2023,Cash,$0.18,N/A,06/15/2023,06/30/2023,USD
03/14/2023,Cash,$0.17,N/A,03/15/2023,03/31/2023,USD
12/14/2022,Cash,$0.17,N/A,12/15/2022,12/30/2022,USD
09/14/2022,Cash,$0.17,N/A,09/15/2022,09/30/2022,USD
06/14/2022,Cash,$0.17,N/A,06/15/2022,06/30/2022,USD
03/14/2022,Cash,$0.13,N/A,03/15/2022,03/31/2022,USD
12/14/2021,Cash,$0.13,N/A,12/15/2021,12/31/2021,USD
09/14/2021,Cash,$0.13,N/A,09/15/2021,09/30/2021,USD
06/14/2021,Cash,$0.13,N/A,06/15/2021,06/30/2021,USD
03/14/2003,Cash,$0.11,N/A,03/14/2003,N/A,USD
12/17/2002,Cash,$0.11,N/A,12/17/2002,N/A,USD
09/18/2002,Cash,$0.10,N/A,09/18/2002,N/A,USD
06/19/2002,Cash,$0.30,N/A,06/19/2002,N/A,USD
03/15/2002,Cash,$0.30,N/A,03/15/2002,N/A,USD
12/18/2001,Cash,$0.30,N/A,12/18/2001,N/A,USD
09/19/2001,Cash,$0.28,N/A,09/19/2001,N/A,USD
06/13/2001,Cash,$0.28,N/A,06/13/2001,N/A,USD
03/16/2001,Cash,$0.28,N/A,03/16/2001,N/A,USD
12/19/2000,Cash,$0.28,N/A,12/19/2000,N/A,USD
09/13/2000,Cash,$0.26,N/A,09/13/2000,N/A,USD
06/14/2000,Cash,$0.26,N/A,06/14/2000,N/A,USD
03/16/2000,Cash,$0.26,N/A,03/16/2000,N/A,USD
12/14/1999,Cash,$0.26,N/A,12/14/1999,N/A,USD
09/15/1999,Cash,$0.24,N/A,09/15/1999,N/A,USD
06/16/1999,Cash,$0.24,N/A,06/16/1999,N/A,USD
03/12/1999,Cash,$0.24,N/A,03/12/1999,N/A,USD
12/15/1998,Cash,$0.24,N/A,12/15/1998,N/A,USD
09/16/1998,Cash,$0.22,N/A,09/16/1998,N/A,USD
06/17/1998,Cash,$0.22,N/A,06/17/1998,N/A,USD
03/13/1998,Cash,$0.22,N/A,03/13/1998,N/A,USD
12/16/1997,Cash,$0.22,N/A,12/16/1997,N/A,USD
09/17/1997,Cash,$0.20,N/A,09/17/1997,N/A,USD
06/18/1997,Cash,$0.20,N/A,06/18/1997,N/A,USD
03/14/1997,Cash,$0.20,N/A,03/14/1997,N/A,USD
12/17/1996,Cash,$0.20,N/A,12/17/1996,N/A,USD
09/18/1996,Cash,$0.15,N/A,09/18/1996,N/A,USD
06/19/1996,Cash,$0.15,N/A,06/19/1996,N/A,USD
03/18/1996,Cash,$0.15,N/A,03/18/1996,N/A,USD
12/15/1995,Cash,$0.15,N/A,12/15/1995,N/A,USD
09/13/1995,Cash,$0.13,N/A,09/13/1995,N/A,USD
06/14/1995,Cash,$0.13,N/A,06/14/1995,N/A,USD
03/15/1995,Cash,$0.13,N/A,03/15/1995,N/A,USD
12/09/1994,Cash,$0.13,N/A,12/09/1994,N/A,USD
09/12/1994,Cash,$0.12,N/A,09/12/1994,N/A,USD
06/13/1994,Cash,$0.12,N/A,06/13/1994,N/A,USD
03/09/1994,Cash,$0.12,N/A,03/09/1994,N/A,USD
12/10/1993,Cash,$0.12,N/A,12/10/1993,N/A,USD
09/13/1993,Cash,$0.11,N/A,09/13/1993,N/A,USD
06/14/1993,Cash,$0.11,N/A,06/14/1993,N/A,USD
03/10/1993,Cash,$0.11,N/A,03/10/1993,N/A,USD
12/11/1992,Cash,$0.11,N/A,12/11/1992,N/A,USD
09/14/1992,Cash,$0.10,N/A,09/14/1992,N/A,USD
06/15/1992,Cash,$0.10,N/A,06/15/1992,N/A,USD
03/12/1992,Cash,$0.10,N/A,03/12/1992,N/A,USD
12/13/1991,Cash,$0.10,N/A,12/13/1991,N/A,USD
09/10/1991,Cash,$0.10,N/A,09/10/1991,N/A,USD
06/10/1991,Cash,$0.10,N/A,06/10/1991,N/A,USD
03/11/1991,Cash,$0.10,N/A,03/11/1991,N/A,USD
12/07/1990,Cash,$0.10,N/A,12/07/1990,N/A,USD
09/10/1990,Cash,$0.10,N/A,09/10/1990,N/A,USD
06/04/1990,Cash,$0.10,N/A,06/04/1990,N/A,USD
03/09/1990,Cash,$0.10,N/A,03/09/1990,N/A,USD
12/08/1989,Cash,$0.10,N/A,12/08/1989,N/A,USD
09/11/1989,Cash,$0.09,N/A,09/11/1989,N/A,USD
06/05/1989,Cash,$0.09,N/A,06/05/1989,N/A,USD
03/06/1989,Cash,$0.09,N/A,03/06/1989,N/A,USD
12/05/1988,Cash,$0.09,N/A,12/05/1988,N/A,USD
