Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/15/2025,Cash,$0.21,N/A,12/15/2025,12/26/2025,USD
09/12/2025,Cash,$0.21,N/A,09/12/2025,09/23/2025,USD
06/09/2025,Cash,$0.21,N/A,06/09/2025,06/20/2025,USD
03/10/2025,Cash,$0.21,N/A,03/10/2025,03/21/2025,USD
12/13/2024,Cash,$0.21,N/A,12/13/2024,12/27/2024,USD
09/13/2024,Cash,$0.21,N/A,09/13/2024,09/23/2024,USD
06/10/2024,Cash,$0.21,N/A,06/10/2024,06/21/2024,USD
03/07/2024,Cash,$0.21,N/A,03/08/2024,03/22/2024,USD
12/14/2023,Cash,$0.21,N/A,12/15/2023,12/29/2023,USD
09/14/2023,Cash,$0.21,N/A,09/15/2023,09/25/2023,USD
06/09/2023,Cash,$0.21,N/A,06/12/2023,06/23/2023,USD
03/09/2023,Cash,$0.21,N/A,03/10/2023,03/24/2023,USD
12/15/2022,Cash,$0.21,N/A,12/16/2022,12/30/2022,USD
09/15/2022,Cash,$0.21,N/A,09/16/2022,09/26/2022,USD
06/10/2022,Cash,$0.21,N/A,06/13/2022,06/24/2022,USD
03/10/2022,Cash,$0.21,N/A,03/11/2022,03/25/2022,USD
12/16/2021,Cash,$0.15,11/03/2021,12/17/2021,12/27/2021,USD
09/16/2021,Cash,$0.15,07/28/2021,09/17/2021,09/27/2021,USD
06/14/2021,Cash,$0.15,04/28/2021,06/15/2021,06/25/2021,USD
03/15/2021,Cash,$0.15,02/25/2021,03/16/2021,03/26/2021,USD
03/16/2020,Cash,$0.15,02/27/2020,03/17/2020,03/27/2020,USD
12/13/2019,Cash,$0.15,10/28/2019,12/16/2019,12/27/2019,USD
09/16/2019,Cash,$0.14,07/29/2019,09/17/2019,09/27/2019,USD
06/17/2019,Cash,$0.14,04/24/2019,06/18/2019,06/28/2019,USD
03/18/2019,Cash,$0.14,02/25/2019,03/19/2019,03/29/2019,USD
12/20/2018,Cash,$0.14,10/30/2018,12/21/2018,12/31/2018,USD
09/17/2018,Cash,$0.20,07/30/2018,09/18/2018,09/28/2018,USD
06/11/2018,Cash,$0.20,04/19/2018,06/12/2018,06/29/2018,USD
03/09/2018,Cash,$0.20,02/26/2018,03/12/2018,03/29/2018,USD
