Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
05/09/2025,Cash,$2.212154,04/15/2025,05/09/2025,06/12/2025,USD
05/09/2024,Cash,$2.0369079,03/26/2024,05/10/2024,06/06/2024,USD
05/30/2023,Cash,$1.9000852,N/A,05/31/2023,06/23/2023,USD
05/26/2022,Cash,$0.2971788,N/A,05/27/2022,06/27/2022,USD
05/04/2022,Cash,$1.7967514,04/20/2022,05/05/2022,05/31/2022,USD
05/03/2021,Cash,$1.906064,03/23/2021,05/04/2021,05/26/2021,USD
04/30/2020,Cash,$1.6993994,03/05/2020,05/01/2020,05/26/2020,USD
05/07/2019,Cash,$1.722322,N/A,05/08/2019,05/31/2019,USD
05/09/2018,Cash,$1.860874,02/07/2018,05/10/2018,06/04/2018,USD
05/11/2017,Cash,$1.577088,02/16/2017,05/15/2017,06/07/2017,USD
05/05/2016,Cash,$1.630252,02/19/2016,05/09/2016,06/01/2016,USD
05/06/2015,Cash,$1.618087,02/25/2015,05/08/2015,06/02/2015,USD
05/07/2014,Cash,$1.9096,02/11/2014,05/09/2014,N/A,USD
05/06/2013,Cash,$1.862409,02/12/2013,05/08/2013,N/A,USD
05/07/2012,Cash,$1.75642,02/09/2012,05/09/2012,N/A,USD
05/11/2011,Cash,$1.8221,05/02/2011,05/13/2011,N/A,USD
05/17/2010,Cash,$1.62732,02/12/2010,05/19/2010,06/14/2010,USD
04/20/2009,Cash,$1.41856,02/11/2009,04/22/2009,N/A,USD
05/16/2008,Cash,$1.510272,02/12/2008,05/20/2008,N/A,USD
06/04/2007,Cash,$1.14537,03/05/2007,06/06/2007,07/03/2007,USD
06/02/2006,Cash,$0.912,03/06/2006,06/06/2006,07/03/2006,USD
06/02/2005,Cash,$0.7993,03/01/2005,06/06/2005,07/01/2005,USD
09/27/2004,Cash,$0.0304,09/02/2004,09/29/2004,N/A,USD
