Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
04/07/2025,Cash,$0.66,03/25/2025,04/07/2025,04/16/2025,USD
08/28/2024,Cash,$0.29,08/15/2024,08/28/2024,09/12/2024,USD
04/04/2024,Cash,$0.28,03/25/2024,04/05/2024,04/18/2024,USD
08/15/2023,Cash,$0.26,08/02/2023,08/16/2023,08/30/2023,USD
04/06/2023,Cash,$0.25,03/29/2023,04/10/2023,04/24/2023,USD
08/16/2022,Cash,$0.23,08/03/2022,08/17/2022,08/30/2022,USD
05/16/2022,Cash,$0.47,05/03/2022,05/17/2022,05/25/2022,USD
04/26/2021,Cash,$0.37,04/11/2021,04/27/2021,05/11/2021,USD
05/26/2020,Cash,$0.14,05/14/2020,05/27/2020,06/10/2020,USD
08/19/2019,Cash,$0.22,08/04/2019,08/20/2019,09/03/2019,USD
10/15/2018,Cash,$0.20,09/16/2018,10/16/2018,10/30/2018,USD
12/01/2017,Cash,$0.20,10/17/2017,12/04/2017,12/14/2017,USD
05/17/2016,Cash,$0.20,03/31/2016,05/19/2016,06/01/2016,USD
05/21/2015,Cash,$0.15,04/20/2015,05/21/2015,06/01/2015,USD
