Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/01/2025,Cash,$0.27,11/19/2025,12/01/2025,12/15/2025,USD
09/02/2025,Cash,$0.27,08/18/2025,09/02/2025,09/15/2025,USD
06/02/2025,Cash,$0.25,05/21/2025,06/02/2025,06/16/2025,USD
03/03/2025,Cash,$0.25,02/13/2025,03/03/2025,03/17/2025,USD
12/02/2024,Cash,$0.25,11/19/2024,12/02/2024,12/16/2024,USD
09/03/2024,Cash,$0.25,08/20/2024,09/03/2024,09/16/2024,USD
06/03/2024,Cash,$0.24,05/16/2024,06/03/2024,06/17/2024,USD
02/29/2024,Cash,$0.24,02/13/2024,03/01/2024,03/15/2024,USD
11/30/2023,Cash,$0.24,11/15/2023,12/01/2023,12/15/2023,USD
08/31/2023,Cash,$0.24,08/18/2023,09/01/2023,09/15/2023,USD
05/31/2023,Cash,$0.20,05/17/2023,06/01/2023,06/15/2023,USD
02/28/2023,Cash,$0.20,02/10/2023,03/01/2023,03/15/2023,USD
11/30/2022,Cash,$0.20,11/16/2022,12/01/2022,12/15/2022,USD
08/31/2022,Cash,$0.20,08/17/2022,09/01/2022,09/15/2022,USD
05/31/2022,Cash,$0.20,05/11/2022,06/01/2022,06/15/2022,USD
02/28/2022,Cash,$0.20,02/16/2022,03/01/2022,03/15/2022,USD
11/30/2021,Cash,$0.20,11/16/2021,12/01/2021,12/15/2021,USD
08/31/2021,Cash,$0.16,08/13/2021,09/01/2021,09/15/2021,USD
05/28/2021,Cash,$0.16,05/19/2021,06/01/2021,06/15/2021,USD
02/26/2021,Cash,$0.16,02/24/2021,03/01/2021,03/15/2021,USD
11/30/2020,Cash,$0.14,11/18/2020,12/01/2020,12/15/2020,USD
08/31/2020,Cash,$0.14,08/19/2020,09/01/2020,09/15/2020,USD
05/29/2020,Cash,$0.125,05/20/2020,06/01/2020,06/15/2020,USD
02/28/2020,Cash,$0.125,02/14/2020,03/02/2020,03/16/2020,USD
11/29/2019,Cash,$0.125,11/20/2019,12/02/2019,12/16/2019,USD
08/30/2019,Cash,$0.10,08/15/2019,09/03/2019,09/17/2019,USD
05/31/2019,Cash,$0.10,05/15/2019,06/03/2019,06/17/2019,USD
02/28/2019,Cash,$0.10,02/12/2019,03/01/2019,03/15/2019,USD
11/29/2018,Cash,$0.08,11/14/2018,12/01/2018,12/17/2018,USD
08/31/2018,Cash,$0.08,08/21/2018,09/04/2018,09/18/2018,USD
05/31/2018,Cash,$0.07,05/17/2018,06/01/2018,06/15/2018,USD
02/28/2018,Cash,$0.07,02/13/2018,03/01/2018,03/15/2018,USD
11/30/2017,Cash,$0.07,11/15/2017,12/01/2017,12/15/2017,USD
08/30/2017,Cash,$0.07,08/17/2017,09/01/2017,09/15/2017,USD
05/30/2017,Cash,$0.0625,05/17/2017,06/01/2017,06/15/2017,USD
02/27/2017,Cash,$0.0625,02/16/2017,03/01/2017,03/15/2017,USD
11/29/2016,Cash,$0.0625,11/16/2016,12/01/2016,12/15/2016,USD
08/30/2016,Cash,$0.0625,08/17/2016,09/01/2016,09/15/2016,USD
05/27/2016,Cash,$0.125,05/17/2016,06/01/2016,06/15/2016,USD
03/03/2016,Cash,$0.125,02/24/2016,03/07/2016,03/15/2016,USD
11/27/2015,Cash,$0.125,11/20/2015,12/01/2015,12/15/2015,USD
08/28/2015,Cash,$0.125,08/21/2015,09/01/2015,09/15/2015,USD
05/28/2015,Cash,$0.125,05/21/2015,06/01/2015,06/15/2015,USD
02/26/2015,Cash,$0.125,02/18/2015,03/02/2015,03/16/2015,USD
11/26/2014,Cash,$0.125,11/12/2014,12/01/2014,12/15/2014,USD
