Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/10/2023,Cash,$0.07,11/01/2023,11/13/2023,12/11/2023,USD
08/11/2023,Cash,$0.07,08/02/2023,08/14/2023,09/11/2023,USD
05/12/2023,Cash,$0.07,05/04/2023,05/15/2023,06/12/2023,USD
03/02/2023,Cash,$0.07,02/22/2023,03/03/2023,03/30/2023,USD
11/17/2022,Cash,$0.07,11/08/2022,11/18/2022,12/19/2022,USD
08/11/2022,Cash,$0.07,08/02/2022,08/12/2022,09/06/2022,USD
05/12/2022,Cash,$0.07,05/03/2022,05/13/2022,06/09/2022,USD
03/04/2022,Cash,$0.07,02/22/2022,03/07/2022,04/04/2022,USD
11/12/2021,Cash,$0.05,11/02/2021,11/15/2021,12/13/2021,USD
08/13/2021,Cash,$0.05,08/03/2021,08/16/2021,09/13/2021,USD
05/14/2021,Cash,$0.05,05/05/2021,05/17/2021,06/14/2021,USD
03/04/2021,Cash,$0.05,02/17/2021,03/05/2021,03/31/2021,USD
