Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
08/08/2016,Cash,$0.21,07/28/2016,08/10/2016,08/24/2016,USD
05/20/2016,Cash,$0.21,05/03/2016,05/24/2016,06/07/2016,USD
03/02/2016,Cash,$0.21,02/18/2016,03/04/2016,03/18/2016,USD
11/06/2015,Cash,$0.21,10/28/2015,11/11/2015,11/25/2015,USD
08/14/2015,Cash,$0.21,08/06/2015,08/18/2015,09/01/2015,USD
05/06/2015,Cash,$0.21,04/27/2015,05/08/2015,05/22/2015,USD
03/03/2015,Cash,$0.21,02/23/2015,03/05/2015,03/19/2015,USD
11/06/2014,Cash,$0.19,10/29/2014,11/10/2014,11/24/2014,USD
08/01/2014,Cash,$0.19,07/24/2014,08/05/2014,08/19/2014,USD
05/01/2014,Cash,$0.18,04/24/2014,05/05/2014,05/20/2014,USD
02/28/2014,Cash,$0.18,02/20/2014,03/04/2014,03/18/2014,USD
11/05/2013,Cash,$0.24,10/28/2013,11/07/2013,11/22/2013,USD
08/02/2013,Cash,$0.17,07/25/2013,08/06/2013,08/20/2013,USD
05/08/2013,Cash,$0.28,04/25/2013,05/10/2013,05/24/2013,USD
