Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/18/2025,Cash,$0.71,10/28/2025,11/18/2025,12/09/2025,USD
08/26/2025,Cash,$0.71,08/05/2025,08/26/2025,09/16/2025,USD
05/27/2025,Cash,$0.70,05/07/2025,05/27/2025,06/17/2025,USD
02/24/2025,Cash,$0.70,02/05/2025,02/24/2025,03/17/2025,USD
12/03/2024,Cash,$0.70,11/12/2024,12/03/2024,12/24/2024,USD
08/20/2024,Cash,$0.70,07/30/2024,08/20/2024,09/10/2024,USD
05/20/2024,Cash,$0.68,04/30/2024,05/21/2024,06/11/2024,USD
02/16/2024,Cash,$0.68,01/30/2024,02/20/2024,03/12/2024,USD
11/20/2023,Cash,$0.68,11/02/2023,11/21/2023,12/12/2023,USD
08/28/2023,Cash,$0.68,08/07/2023,08/29/2023,09/19/2023,USD
05/26/2023,Cash,$0.62,05/08/2023,05/30/2023,06/20/2023,USD
02/27/2023,Cash,$0.62,02/06/2023,02/28/2023,03/21/2023,USD
11/21/2022,Cash,$0.62,N/A,11/22/2022,12/13/2022,USD
08/24/2022,Cash,$0.62,N/A,08/25/2022,09/15/2022,USD
05/23/2022,Cash,$0.56,N/A,05/24/2022,06/14/2022,USD
02/18/2022,Cash,$0.56,N/A,02/22/2022,03/15/2022,USD
11/22/2021,Cash,$0.56,N/A,11/23/2021,12/14/2021,USD
08/16/2021,Cash,$0.56,N/A,08/17/2021,09/07/2021,USD
05/17/2021,Cash,$0.50,N/A,05/18/2021,06/08/2021,USD
02/12/2021,Cash,$0.50,N/A,02/16/2021,03/09/2021,USD
11/18/2020,Cash,$0.50,N/A,11/19/2020,12/10/2020,USD
08/10/2020,Cash,$0.50,N/A,08/11/2020,09/01/2020,USD
05/20/2020,Cash,$0.44,N/A,05/21/2020,06/11/2020,USD
02/10/2020,Cash,$0.44,N/A,02/11/2020,03/03/2020,USD
12/02/2019,Cash,$0.44,N/A,12/03/2019,12/24/2019,USD
08/26/2019,Cash,$0.44,N/A,08/27/2019,09/17/2019,USD
05/20/2019,Cash,$0.38,N/A,05/21/2019,06/11/2019,USD
02/25/2019,Cash,$0.38,N/A,02/26/2019,03/19/2019,USD
11/26/2018,Cash,$0.38,N/A,11/27/2018,12/18/2018,USD
08/06/2018,Cash,$0.38,N/A,08/07/2018,08/28/2018,USD
05/21/2018,Cash,$0.32,N/A,05/22/2018,06/12/2018,USD
02/21/2018,Cash,$0.32,N/A,02/22/2018,03/15/2018,USD
11/20/2017,Cash,$0.32,N/A,11/21/2017,12/12/2017,USD
08/04/2017,Cash,$0.32,N/A,08/08/2017,08/29/2017,USD
05/12/2017,Cash,$0.28,N/A,05/16/2017,06/06/2017,USD
01/31/2017,Cash,$0.28,N/A,02/02/2017,02/23/2017,USD
11/15/2016,Cash,$0.28,N/A,11/17/2016,12/08/2016,USD
08/02/2016,Cash,$0.28,N/A,08/04/2016,08/25/2016,USD
05/10/2016,Cash,$0.26,N/A,05/12/2016,06/02/2016,USD
02/09/2016,Cash,$0.26,N/A,02/11/2016,03/03/2016,USD
11/17/2015,Cash,$0.26,N/A,11/19/2015,12/10/2015,USD
08/04/2015,Cash,$0.26,N/A,08/06/2015,08/27/2015,USD
05/12/2015,Cash,$0.13,04/30/2015,05/14/2015,06/04/2015,USD
02/03/2015,Cash,$0.13,N/A,02/05/2015,03/03/2015,USD
11/14/2014,Cash,$0.13,N/A,11/18/2014,12/11/2014,USD
08/05/2014,Cash,$0.11,N/A,08/07/2014,08/21/2014,USD
05/09/2014,Cash,$0.11,04/22/2014,05/13/2014,05/22/2014,USD
