Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/14/2025,Cash,$0.45,11/04/2025,11/14/2025,12/01/2025,USD
08/18/2025,Cash,$0.59,08/06/2025,08/18/2025,09/02/2025,USD
05/19/2025,Cash,$0.41,05/07/2025,05/19/2025,06/02/2025,USD
02/21/2025,Cash,$0.53,02/11/2025,02/21/2025,03/07/2025,USD
11/14/2024,Cash,$0.38,11/04/2024,11/14/2024,12/02/2024,USD
08/16/2024,Cash,$0.42,08/06/2024,08/16/2024,08/30/2024,USD
05/17/2024,Cash,$0.41,05/08/2024,05/20/2024,06/03/2024,USD
02/22/2024,Cash,$0.44,02/13/2024,02/23/2024,03/08/2024,USD
11/16/2023,Cash,$0.48,11/07/2023,11/17/2023,12/01/2023,USD
08/17/2023,Cash,$0.22,08/08/2023,08/18/2023,09/01/2023,USD
05/24/2023,Cash,$0.20,05/15/2023,05/25/2023,06/05/2023,USD
02/24/2023,Cash,$0.50,N/A,02/27/2023,03/10/2023,USD
11/18/2022,Cash,$0.26,N/A,11/21/2022,12/02/2022,USD
08/18/2022,Cash,$0.39,08/09/2022,08/19/2022,09/02/2022,USD
05/19/2022,Cash,$0.44,05/10/2022,05/20/2022,06/03/2022,USD
