Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/01/2025,Cash,$0.24,10/28/2025,12/01/2025,12/15/2025,USD
08/29/2025,Cash,$0.24,07/22/2025,09/01/2025,09/15/2025,USD
05/30/2025,Cash,$0.24,04/22/2025,06/01/2025,06/15/2025,USD
02/28/2025,Cash,$0.24,01/28/2025,03/01/2025,03/15/2025,USD
11/29/2024,Cash,$0.23,10/22/2024,12/01/2024,12/15/2024,USD
08/30/2024,Cash,$0.23,07/23/2024,09/01/2024,09/15/2024,USD
05/31/2024,Cash,$0.23,04/23/2024,06/01/2024,06/15/2024,USD
02/29/2024,Cash,$0.23,01/23/2024,03/01/2024,03/15/2024,USD
11/30/2023,Cash,$0.23,10/24/2023,12/01/2023,12/15/2023,USD
08/31/2023,Cash,$0.23,07/25/2023,09/01/2023,09/15/2023,USD
05/31/2023,Cash,$0.23,04/25/2023,06/01/2023,06/15/2023,USD
02/28/2023,Cash,$0.23,01/24/2023,03/01/2023,03/15/2023,USD
11/30/2022,Cash,$0.23,10/25/2022,12/01/2022,12/15/2022,USD
08/31/2022,Cash,$0.23,07/26/2022,09/01/2022,09/15/2022,USD
05/31/2022,Cash,$0.23,04/26/2022,06/01/2022,06/15/2022,USD
02/28/2022,Cash,$0.23,01/25/2022,03/01/2022,03/15/2022,USD
11/30/2021,Cash,$0.23,10/26/2021,12/01/2021,12/15/2021,USD
08/31/2021,Cash,$0.23,07/27/2021,09/01/2021,09/15/2021,USD
05/28/2021,Cash,$0.23,04/27/2021,06/01/2021,06/15/2021,USD
02/26/2021,Cash,$0.23,01/26/2021,03/01/2021,03/15/2021,USD
11/30/2020,Cash,$0.23,10/27/2020,12/01/2020,12/15/2020,USD
08/31/2020,Cash,$0.23,07/28/2020,09/01/2020,09/15/2020,USD
05/29/2020,Cash,$0.23,04/28/2020,06/01/2020,06/15/2020,USD
02/27/2020,Cash,$0.23,01/28/2020,03/01/2020,03/15/2020,USD
11/27/2019,Cash,$0.23,10/22/2019,12/01/2019,12/15/2019,USD
08/29/2019,Cash,$0.23,07/23/2019,09/01/2019,09/15/2019,USD
05/30/2019,Cash,$0.23,04/23/2019,06/01/2019,06/15/2019,USD
02/28/2019,Cash,$0.23,01/23/2019,03/01/2019,03/15/2019,USD
11/29/2018,Cash,$0.23,10/23/2018,12/01/2018,12/15/2018,USD
08/30/2018,Cash,$0.23,07/24/2018,09/01/2018,09/15/2018,USD
05/31/2018,Cash,$0.23,04/24/2018,06/01/2018,06/15/2018,USD
02/28/2018,Cash,$0.23,01/23/2018,03/01/2018,03/15/2018,USD
11/30/2017,Cash,$0.23,10/24/2017,12/01/2017,12/15/2017,USD
08/30/2017,Cash,$0.23,07/25/2017,09/01/2017,09/15/2017,USD
05/30/2017,Cash,$0.23,04/25/2017,06/01/2017,06/15/2017,USD
02/27/2017,Cash,$0.23,01/24/2017,03/01/2017,03/15/2017,USD
11/29/2016,Cash,$0.23,10/25/2016,12/01/2016,12/15/2016,USD
08/30/2016,Cash,$0.23,07/26/2016,09/01/2016,09/15/2016,USD
05/27/2016,Cash,$0.23,04/26/2016,06/01/2016,06/15/2016,USD
02/26/2016,Cash,$0.23,01/26/2016,03/01/2016,03/15/2016,USD
11/27/2015,Cash,$0.23,10/27/2015,12/01/2015,12/15/2015,USD
08/28/2015,Cash,$0.23,07/28/2015,09/01/2015,09/15/2015,USD
05/28/2015,Cash,$0.23,04/28/2015,06/01/2015,06/15/2015,USD
02/25/2015,Cash,$0.23,01/27/2015,03/01/2015,03/15/2015,USD
11/26/2014,Cash,$0.23,10/28/2014,12/01/2014,12/15/2014,USD
08/27/2014,Cash,$0.23,07/22/2014,09/01/2014,09/15/2014,USD
05/28/2014,Cash,$0.23,04/22/2014,06/01/2014,06/15/2014,USD
02/26/2014,Cash,$0.23,01/28/2014,03/01/2014,03/15/2014,USD
11/26/2013,Cash,$0.23,10/22/2013,12/01/2013,12/15/2013,USD
08/28/2013,Cash,$0.23,07/23/2013,09/01/2013,09/15/2013,USD
05/28/2003,Cash,$0.165,N/A,05/28/2003,N/A,USD
03/04/2003,Cash,$0.165,N/A,03/04/2003,N/A,USD
11/26/2002,Cash,$0.165,N/A,11/26/2002,N/A,USD
08/28/2002,Cash,$0.15,N/A,08/28/2002,N/A,USD
05/29/2002,Cash,$0.15,N/A,05/29/2002,N/A,USD
02/27/2002,Cash,$0.15,N/A,02/27/2002,N/A,USD
11/28/2001,Cash,$0.15,N/A,11/28/2001,N/A,USD
08/29/2001,Cash,$0.135,N/A,08/29/2001,N/A,USD
05/30/2001,Cash,$0.135,N/A,05/30/2001,N/A,USD
02/27/2001,Cash,$0.135,N/A,02/27/2001,N/A,USD
11/29/2000,Cash,$0.135,N/A,11/29/2000,N/A,USD
08/30/2000,Cash,$0.125,N/A,08/30/2000,N/A,USD
05/30/2000,Cash,$0.125,N/A,05/30/2000,N/A,USD
02/28/2000,Cash,$0.125,N/A,02/28/2000,N/A,USD
11/29/1999,Cash,$0.125,N/A,11/29/1999,N/A,USD
08/30/1999,Cash,$0.105,N/A,08/30/1999,N/A,USD
05/27/1999,Cash,$0.105,N/A,05/27/1999,N/A,USD
02/25/1999,Cash,$0.105,N/A,02/25/1999,N/A,USD
11/27/1998,Cash,$0.105,N/A,11/27/1998,N/A,USD
08/28/1998,Cash,$0.0825,N/A,08/28/1998,N/A,USD
05/28/1998,Cash,$0.0825,N/A,05/28/1998,N/A,USD
