Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/15/2025,Cash,$1.27,10/28/2025,12/15/2025,12/30/2025,USD
09/15/2025,Cash,$1.27,08/11/2025,09/15/2025,09/29/2025,USD
06/13/2025,Cash,$1.27,05/09/2025,06/13/2025,06/27/2025,USD
03/14/2025,Cash,$1.27,02/11/2025,03/14/2025,03/28/2025,USD
12/13/2024,Cash,$1.24,10/29/2024,12/13/2024,12/27/2024,USD
09/13/2024,Cash,$1.24,07/30/2024,09/13/2024,09/27/2024,USD
06/14/2024,Cash,$1.24,05/07/2024,06/14/2024,06/27/2024,USD
03/14/2024,Cash,$1.24,01/30/2024,03/15/2024,03/28/2024,USD
12/14/2023,Cash,$1.22,10/31/2023,12/15/2023,12/29/2023,USD
09/14/2023,Cash,$1.22,07/31/2023,09/15/2023,09/28/2023,USD
06/14/2023,Cash,$1.22,05/09/2023,06/15/2023,06/29/2023,USD
03/14/2023,Cash,$1.22,02/07/2023,03/15/2023,03/30/2023,USD
12/15/2022,Cash,$1.20,11/01/2022,12/16/2022,12/29/2022,USD
09/14/2022,Cash,$1.20,08/01/2022,09/15/2022,09/29/2022,USD
06/14/2022,Cash,$1.20,05/10/2022,06/15/2022,06/29/2022,USD
03/14/2022,Cash,$1.20,02/08/2022,03/15/2022,03/30/2022,USD
12/15/2021,Cash,$1.08,11/02/2021,12/16/2021,12/30/2021,USD
09/14/2021,Cash,$1.08,08/02/2021,09/15/2021,09/29/2021,USD
06/24/2021,Cash,$3.00,06/14/2021,06/25/2021,07/07/2021,USD
06/14/2021,Cash,$1.08,05/11/2021,06/15/2021,06/29/2021,USD
03/15/2021,Cash,$1.08,02/09/2021,03/16/2021,03/30/2021,USD
12/14/2020,Cash,$0.90,10/28/2020,12/15/2020,12/30/2020,USD
09/14/2020,Cash,$0.90,08/03/2020,09/15/2020,09/29/2020,USD
06/12/2020,Cash,$0.90,05/12/2020,06/15/2020,06/30/2020,USD
03/13/2020,Cash,$0.90,02/12/2020,03/16/2020,03/30/2020,USD
12/13/2019,Cash,$0.76,10/30/2019,12/16/2019,12/30/2019,USD
09/12/2019,Cash,$0.76,08/19/2019,09/13/2019,09/27/2019,USD
06/13/2019,Cash,$0.76,04/25/2019,06/14/2019,06/28/2019,USD
03/14/2019,Cash,$0.76,02/12/2019,03/15/2019,03/29/2019,USD
