Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/24/2025,Cash,$0.23,11/05/2025,11/24/2025,12/09/2025,USD
08/25/2025,Cash,$0.23,08/06/2025,08/25/2025,09/09/2025,USD
05/28/2025,Cash,$0.23,05/14/2025,05/28/2025,06/10/2025,USD
02/26/2025,Cash,$0.23,02/12/2025,02/26/2025,03/11/2025,USD
11/25/2024,Cash,$1.10,11/06/2024,11/25/2024,12/10/2024,USD
08/26/2024,Cash,$1.10,08/07/2024,08/26/2024,09/10/2024,USD
05/24/2024,Cash,$1.10,05/08/2024,05/28/2024,06/11/2024,USD
02/23/2024,Cash,$1.10,02/05/2024,02/26/2024,03/12/2024,USD
11/24/2023,Cash,$1.03,11/08/2023,11/27/2023,12/12/2023,USD
08/25/2023,Cash,$1.03,08/09/2023,08/28/2023,09/12/2023,USD
05/26/2023,Cash,$1.03,05/10/2023,05/30/2023,06/13/2023,USD
02/24/2023,Cash,$1.03,02/08/2023,02/27/2023,03/14/2023,USD
11/18/2022,Cash,$0.92,11/03/2022,11/21/2022,12/06/2022,USD
08/19/2022,Cash,$0.92,08/04/2022,08/22/2022,09/07/2022,USD
05/24/2022,Cash,$0.92,05/10/2022,05/25/2022,06/08/2022,USD
02/17/2022,Cash,$0.92,01/26/2022,02/21/2022,03/08/2022,USD
11/19/2021,Cash,$0.52,11/03/2021,11/22/2021,12/08/2021,USD
08/20/2021,Cash,$0.52,08/04/2021,08/23/2021,09/08/2021,USD
05/21/2021,Cash,$0.52,05/05/2021,05/24/2021,06/08/2021,USD
02/19/2021,Cash,$0.52,01/27/2021,02/22/2021,03/09/2021,USD
11/20/2020,Cash,$0.40,11/04/2020,11/23/2020,12/08/2020,USD
08/21/2020,Cash,$0.40,08/05/2020,08/24/2020,09/09/2020,USD
05/22/2020,Cash,$0.35,05/06/2020,05/26/2020,06/09/2020,USD
02/21/2020,Cash,$0.35,02/05/2020,02/24/2020,03/10/2020,USD
11/22/2019,Cash,$0.35,11/06/2019,11/25/2019,12/10/2019,USD
08/23/2019,Cash,$0.35,08/07/2019,08/26/2019,09/10/2019,USD
05/24/2019,Cash,$0.35,05/08/2019,05/28/2019,06/11/2019,USD
02/22/2019,Cash,$0.31,02/06/2019,02/25/2019,03/12/2019,USD
11/23/2018,Cash,$0.31,11/07/2018,11/26/2018,12/11/2018,USD
08/24/2018,Cash,$0.31,08/08/2018,08/27/2018,09/11/2018,USD
05/25/2018,Cash,$0.31,05/09/2018,05/29/2018,06/12/2018,USD
02/23/2018,Cash,$0.27,02/07/2018,02/26/2018,03/13/2018,USD
11/17/2017,Cash,$0.27,11/06/2017,11/20/2017,12/05/2017,USD
08/17/2017,Cash,$0.27,08/07/2017,08/21/2017,09/06/2017,USD
05/18/2017,Cash,$0.27,05/08/2017,05/22/2017,06/06/2017,USD
02/23/2017,Cash,$0.24,02/08/2017,02/27/2017,03/14/2017,USD
11/09/2016,Cash,$0.24,10/31/2016,11/14/2016,11/29/2016,USD
08/11/2016,Cash,$0.24,08/01/2016,08/15/2016,08/30/2016,USD
05/12/2016,Cash,$0.24,05/02/2016,05/16/2016,06/01/2016,USD
02/18/2016,Cash,$0.20,02/03/2016,02/22/2016,03/08/2016,USD
11/12/2015,Cash,$0.20,11/02/2015,11/16/2015,12/01/2015,USD
08/13/2015,Cash,$0.20,08/03/2015,08/17/2015,09/01/2015,USD
05/14/2015,Cash,$0.20,05/04/2015,05/18/2015,06/02/2015,USD
02/19/2015,Cash,$0.16,02/04/2015,02/23/2015,03/10/2015,USD
11/13/2014,Cash,$0.16,10/29/2014,11/17/2014,12/02/2014,USD
08/14/2014,Cash,$0.16,07/30/2014,08/18/2014,09/03/2014,USD
05/15/2014,Cash,$0.16,04/30/2014,05/19/2014,06/03/2014,USD
02/20/2014,Cash,$0.13,02/05/2014,02/24/2014,03/11/2014,USD
11/14/2013,Cash,$0.13,10/30/2013,11/18/2013,12/03/2013,USD
08/15/2013,Cash,$0.26,07/31/2013,08/19/2013,09/04/2013,USD
02/21/2013,Cash,$0.20,02/06/2013,02/25/2013,03/12/2013,USD
