Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/01/2025,Cash,$0.12,N/A,12/01/2025,12/15/2025,USD
09/02/2025,Cash,$0.12,N/A,09/02/2025,09/16/2025,USD
06/02/2025,Cash,$0.12,N/A,06/02/2025,06/16/2025,USD
03/03/2025,Cash,$0.12,02/06/2025,03/03/2025,03/17/2025,USD
12/02/2024,Cash,$0.10,10/30/2024,12/02/2024,12/16/2024,USD
09/03/2024,Cash,$0.10,07/25/2024,09/03/2024,09/16/2024,USD
06/03/2024,Cash,$0.10,04/25/2024,06/03/2024,06/17/2024,USD
02/29/2024,Cash,$0.10,02/02/2024,03/01/2024,03/15/2024,USD
11/30/2023,Cash,$0.09,10/26/2023,12/01/2023,12/15/2023,USD
08/31/2023,Cash,$0.09,07/27/2023,09/01/2023,09/15/2023,USD
05/31/2023,Cash,$0.09,04/27/2023,06/01/2023,06/15/2023,USD
02/28/2023,Cash,$0.09,02/02/2023,03/01/2023,03/15/2023,USD
11/30/2022,Cash,$0.08,10/27/2022,12/01/2022,12/15/2022,USD
08/31/2022,Cash,$0.08,08/02/2022,09/01/2022,09/15/2022,USD
05/31/2022,Cash,$0.08,04/27/2022,06/01/2022,06/15/2022,USD
02/28/2022,Cash,$0.08,02/02/2022,03/01/2022,03/15/2022,USD
11/30/2021,Cash,$0.08,10/27/2021,12/01/2021,12/15/2021,USD
08/31/2021,Cash,$0.08,07/28/2021,09/01/2021,09/15/2021,USD
05/28/2021,Cash,$0.08,04/28/2021,06/01/2021,06/15/2021,USD
02/26/2021,Cash,$0.08,02/03/2021,03/01/2021,03/15/2021,USD
11/30/2020,Cash,$0.08,10/27/2020,12/01/2020,12/15/2020,USD
08/31/2020,Cash,$0.08,07/28/2020,09/01/2020,09/15/2020,USD
05/29/2020,Cash,$0.08,05/06/2020,06/01/2020,06/15/2020,USD
02/28/2020,Cash,$0.08,N/A,03/02/2020,03/16/2020,USD
11/29/2019,Cash,$0.08,11/07/2019,12/02/2019,12/16/2019,USD
08/30/2019,Cash,$0.08,08/07/2019,09/03/2019,09/16/2019,USD
05/30/2019,Cash,$0.08,05/09/2019,06/01/2019,06/15/2019,USD
