Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
10/31/2025,Cash,$1.42,10/16/2025,10/31/2025,11/12/2025,USD
07/31/2025,Cash,$1.36,07/17/2025,07/31/2025,08/12/2025,USD
04/30/2025,Cash,$1.36,04/17/2025,04/30/2025,05/13/2025,USD
01/31/2025,Cash,$1.36,01/16/2025,01/31/2025,02/11/2025,USD
10/31/2024,Cash,$1.36,10/17/2024,10/31/2024,11/12/2024,USD
07/31/2024,Cash,$1.30,07/18/2024,07/31/2024,08/13/2024,USD
05/07/2024,Cash,$1.30,04/25/2024,05/08/2024,05/21/2024,USD
01/30/2024,Cash,$1.30,01/18/2024,01/31/2024,02/13/2024,USD
10/30/2023,Cash,$1.30,10/19/2023,10/31/2023,11/14/2023,USD
07/28/2023,Cash,$1.24,07/20/2023,07/31/2023,08/15/2023,USD
05/05/2023,Cash,$1.24,04/27/2023,05/08/2023,05/16/2023,USD
01/30/2023,Cash,$1.24,01/19/2023,01/31/2023,02/14/2023,USD
10/28/2022,Cash,$1.24,10/20/2022,10/31/2022,11/15/2022,USD
07/29/2022,Cash,$1.15,07/21/2022,08/01/2022,08/16/2022,USD
05/06/2022,Cash,$1.15,04/28/2022,05/09/2022,05/17/2022,USD
01/28/2022,Cash,$1.15,01/20/2022,01/31/2022,02/07/2022,USD
10/29/2021,Cash,$1.15,10/21/2021,11/01/2021,11/15/2021,USD
07/23/2021,Cash,$1.02,07/15/2021,07/26/2021,08/09/2021,USD
04/30/2021,Cash,$1.02,04/22/2021,05/03/2021,05/17/2021,USD
01/29/2021,Cash,$1.02,01/21/2021,02/01/2021,02/08/2021,USD
10/29/2020,Cash,$1.02,10/15/2020,10/30/2020,11/16/2020,USD
07/30/2020,Cash,$0.90,07/16/2020,07/31/2020,08/17/2020,USD
05/01/2020,Cash,$0.90,04/23/2020,05/04/2020,05/18/2020,USD
01/30/2020,Cash,$0.90,01/16/2020,01/31/2020,02/10/2020,USD
10/30/2019,Cash,$0.90,10/17/2019,10/31/2019,11/18/2019,USD
07/30/2019,Cash,$0.77,07/18/2019,07/31/2019,08/12/2019,USD
05/03/2019,Cash,$0.77,04/25/2019,05/06/2019,05/20/2019,USD
01/30/2019,Cash,$0.77,01/17/2019,01/31/2019,02/11/2019,USD
10/30/2018,Cash,$0.77,10/18/2018,10/31/2018,11/19/2018,USD
07/30/2018,Cash,$0.62,07/19/2018,07/31/2018,08/13/2018,USD
05/04/2018,Cash,$0.62,04/26/2018,05/07/2018,05/21/2018,USD
01/30/2018,Cash,$0.62,01/18/2018,01/31/2018,02/12/2018,USD
10/30/2017,Cash,$0.62,10/19/2017,10/31/2017,11/13/2017,USD
