Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/21/2025,Cash,$0.06,10/29/2025,11/21/2025,12/12/2025,USD
08/22/2025,Cash,$0.06,07/30/2025,08/22/2025,09/12/2025,USD
05/23/2025,Cash,$0.06,04/30/2025,05/23/2025,06/13/2025,USD
02/21/2025,Cash,$0.06,02/03/2025,02/21/2025,03/14/2025,USD
11/22/2024,Cash,$0.05,10/30/2024,11/22/2024,12/13/2024,USD
08/23/2024,Cash,$0.05,07/31/2024,08/23/2024,09/13/2024,USD
05/23/2024,Cash,$0.25,04/30/2024,05/24/2024,06/14/2024,USD
02/22/2024,Cash,$0.25,02/02/2024,02/23/2024,03/15/2024,USD
11/22/2023,Cash,$0.20,10/31/2023,11/24/2023,12/15/2023,USD
08/24/2023,Cash,$0.20,08/02/2023,08/25/2023,09/15/2023,USD
05/25/2023,Cash,$0.20,05/03/2023,05/26/2023,06/16/2023,USD
02/23/2023,Cash,$0.20,02/03/2023,02/24/2023,03/17/2023,USD
11/23/2022,Cash,$0.20,10/26/2022,11/25/2022,12/16/2022,USD
08/25/2022,Cash,$0.20,07/27/2022,08/26/2022,09/16/2022,USD
05/26/2022,Cash,$0.20,04/27/2022,05/27/2022,06/17/2022,USD
02/24/2022,Cash,$0.20,01/31/2022,02/25/2022,03/18/2022,USD
11/18/2021,Cash,$0.16,10/27/2021,11/19/2021,12/10/2021,USD
08/19/2021,Cash,$0.16,07/28/2021,08/20/2021,09/10/2021,USD
05/20/2021,Cash,$0.16,04/28/2021,05/21/2021,06/11/2021,USD
02/18/2021,Cash,$0.16,01/29/2021,02/19/2021,03/12/2021,USD
11/19/2020,Cash,$0.16,10/28/2020,11/20/2020,12/11/2020,USD
08/27/2020,Cash,$0.16,07/29/2020,08/28/2020,09/18/2020,USD
05/21/2020,Cash,$0.16,04/29/2020,05/22/2020,06/12/2020,USD
02/20/2020,Cash,$0.16,01/30/2020,02/21/2020,03/13/2020,USD
12/05/2019,Cash,$5.35,11/22/2019,12/06/2019,12/20/2019,USD
11/21/2019,Cash,$0.135,10/30/2019,11/22/2019,12/13/2019,USD
08/22/2019,Cash,$0.135,07/31/2019,08/23/2019,09/13/2019,USD
05/23/2019,Cash,$0.135,05/01/2019,05/24/2019,06/14/2019,USD
02/21/2019,Cash,$0.135,01/31/2019,02/22/2019,03/15/2019,USD
11/21/2018,Cash,$0.135,10/30/2018,11/23/2018,12/14/2018,USD
