Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/13/2025,Cash,$0.58,11/03/2025,11/13/2025,11/20/2025,USD
08/14/2025,Cash,$0.53,N/A,08/14/2025,08/21/2025,USD
05/15/2025,Cash,$0.57,N/A,05/15/2025,05/22/2025,USD
03/06/2025,Cash,$0.65,N/A,03/06/2025,03/13/2025,USD
11/14/2024,Cash,$0.61,N/A,11/14/2024,11/21/2024,USD
08/15/2024,Cash,$0.64,08/01/2024,08/15/2024,08/22/2024,USD
05/14/2024,Cash,$0.59,N/A,05/15/2024,05/22/2024,USD
03/04/2024,Cash,$0.56,02/15/2024,03/05/2024,03/12/2024,USD
11/15/2023,Cash,$0.57,11/02/2023,11/16/2023,11/24/2023,USD
08/09/2023,Cash,$0.36,N/A,08/10/2023,08/17/2023,USD
05/10/2023,Cash,$0.33,N/A,05/11/2023,05/18/2023,USD
03/02/2023,Cash,$0.49,02/15/2023,03/03/2023,03/10/2023,USD
11/16/2022,Cash,$0.49,11/03/2022,11/17/2022,11/25/2022,USD
08/15/2022,Cash,$0.81,07/26/2022,08/16/2022,08/23/2022,USD
05/11/2022,Cash,$0.67,04/27/2022,05/12/2022,05/19/2022,USD
03/03/2022,Cash,$0.47,02/16/2022,03/04/2022,03/11/2022,USD
11/09/2021,Cash,$0.38,N/A,11/11/2021,11/18/2021,USD
08/11/2021,Cash,$0.33,N/A,08/12/2021,08/19/2021,USD
05/12/2021,Cash,$0.25,N/A,05/13/2021,05/20/2021,USD
03/03/2021,Cash,$0.14,N/A,03/04/2021,03/11/2021,USD
11/10/2020,Cash,$0.10,N/A,11/12/2020,11/19/2020,USD
08/12/2020,Cash,$0.03,N/A,08/13/2020,08/20/2020,USD
05/13/2020,Cash,$0.10,N/A,05/14/2020,05/21/2020,USD
02/20/2020,Cash,$0.45,N/A,02/21/2020,02/28/2020,USD
11/07/2019,Cash,$0.46,N/A,11/08/2019,11/15/2019,USD
08/13/2019,Cash,$0.47,N/A,08/14/2019,08/21/2019,USD
05/10/2019,Cash,$0.38,04/25/2019,05/13/2019,05/20/2019,USD
02/15/2019,Cash,$0.51,N/A,02/19/2019,02/25/2019,USD
11/08/2018,Cash,$0.58,N/A,11/12/2018,11/19/2018,USD
08/10/2018,Cash,$0.60,N/A,08/13/2018,08/20/2018,USD
04/19/2018,Cash,$0.48,04/05/2018,04/20/2018,04/27/2018,USD
02/15/2018,Cash,$0.46,01/31/2018,02/19/2018,02/26/2018,USD
11/06/2017,Cash,$0.337,10/16/2017,11/07/2017,11/14/2017,USD
08/15/2017,Cash,$0.332,07/28/2017,08/17/2017,08/24/2017,USD
05/16/2017,Cash,$0.302,04/27/2017,05/18/2017,05/25/2017,USD
02/15/2017,Cash,$0.258,02/06/2017,02/17/2017,02/24/2017,USD
11/08/2016,Cash,$0.207,N/A,11/11/2016,11/18/2016,USD
08/11/2016,Cash,$0.189,07/21/2016,08/15/2016,08/22/2016,USD
05/12/2016,Cash,$0.149,05/02/2016,05/16/2016,05/23/2016,USD
02/17/2016,Cash,$0.228,N/A,02/19/2016,02/26/2016,USD
11/10/2015,Cash,$0.20,N/A,11/13/2015,11/20/2015,USD
08/12/2015,Cash,$0.22,N/A,08/14/2015,08/21/2015,USD
05/13/2015,Cash,$0.19,05/01/2015,05/15/2015,05/22/2015,USD
02/18/2015,Cash,$0.25,02/05/2015,02/20/2015,02/27/2015,USD
11/19/2014,Cash,$0.25,11/04/2014,11/21/2014,11/28/2014,USD
