Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/15/2025,Cash,$0.45,10/22/2025,12/15/2025,12/31/2025,USD
09/15/2025,Cash,$0.45,07/23/2025,09/15/2025,09/30/2025,USD
06/13/2025,Cash,$0.45,04/30/2025,06/13/2025,06/30/2025,USD
03/14/2025,Cash,$0.45,02/19/2025,03/14/2025,03/31/2025,USD
12/13/2024,Cash,$0.39,N/A,12/13/2024,12/31/2024,USD
09/13/2024,Cash,$0.39,07/24/2024,09/15/2024,09/30/2024,USD
06/14/2024,Cash,$0.39,04/24/2024,06/15/2024,06/28/2024,USD
03/14/2024,Cash,$0.39,N/A,03/15/2024,03/29/2024,USD
12/14/2023,Cash,$0.34,11/01/2023,12/15/2023,12/29/2023,USD
09/14/2023,Cash,$0.34,N/A,09/15/2023,09/29/2023,USD
06/14/2023,Cash,$0.34,N/A,06/15/2023,06/30/2023,USD
03/14/2023,Cash,$0.34,02/14/2023,03/15/2023,03/31/2023,USD
12/14/2022,Cash,$0.31,10/26/2022,12/15/2022,12/30/2022,USD
09/14/2022,Cash,$0.31,07/27/2022,09/15/2022,09/30/2022,USD
06/14/2022,Cash,$0.31,04/27/2022,06/15/2022,06/30/2022,USD
03/14/2022,Cash,$0.31,02/22/2022,03/15/2022,03/31/2022,USD
12/14/2021,Cash,$0.29,10/27/2021,12/15/2021,12/31/2021,USD
09/14/2021,Cash,$0.29,07/28/2021,09/15/2021,09/30/2021,USD
06/14/2021,Cash,$0.29,04/28/2021,06/15/2021,06/30/2021,USD
03/12/2021,Cash,$0.29,02/17/2021,03/15/2021,03/31/2021,USD
12/14/2020,Cash,$0.27,10/28/2020,12/15/2020,12/31/2020,USD
09/14/2020,Cash,$0.27,07/29/2020,09/15/2020,09/30/2020,USD
06/12/2020,Cash,$0.27,N/A,06/15/2020,06/30/2020,USD
03/12/2020,Cash,$0.27,02/12/2020,03/13/2020,03/31/2020,USD
12/12/2019,Cash,$0.25,10/23/2019,12/13/2019,12/31/2019,USD
09/12/2019,Cash,$0.25,07/24/2019,09/13/2019,09/30/2019,USD
06/13/2019,Cash,$0.25,04/29/2019,06/14/2019,06/28/2019,USD
03/14/2019,Cash,$0.25,02/19/2019,03/15/2019,03/29/2019,USD
