Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/24/2025,Cash,$0.12,11/03/2025,11/24/2025,12/15/2025,USD
08/22/2025,Cash,$0.12,08/04/2025,08/22/2025,09/15/2025,USD
05/23/2025,Cash,$0.12,05/05/2025,05/23/2025,06/16/2025,USD
03/10/2025,Cash,$0.12,02/24/2025,03/10/2025,03/18/2025,USD
11/22/2024,Cash,$0.12,11/04/2024,11/22/2024,12/13/2024,USD
08/23/2024,Cash,$0.12,08/05/2024,08/23/2024,09/13/2024,USD
05/23/2024,Cash,$0.12,05/06/2024,05/24/2024,06/14/2024,USD
03/08/2024,Cash,$0.12,02/26/2024,03/11/2024,03/18/2024,USD
11/22/2023,Cash,$0.12,11/06/2023,11/24/2023,12/15/2023,USD
08/23/2023,Cash,$0.12,08/04/2023,08/24/2023,09/15/2023,USD
05/23/2023,Cash,$0.12,05/05/2023,05/24/2023,06/16/2023,USD
03/08/2023,Cash,$0.12,02/24/2023,03/09/2023,03/17/2023,USD
11/22/2022,Cash,$0.12,11/03/2022,11/23/2022,12/16/2022,USD
08/23/2022,Cash,$0.12,08/04/2022,08/24/2022,09/16/2022,USD
05/23/2022,Cash,$0.12,05/05/2022,05/24/2022,06/16/2022,USD
02/23/2022,Cash,$0.12,01/04/2022,02/24/2022,03/16/2022,USD
11/22/2021,Cash,$0.11,11/05/2021,11/23/2021,12/16/2021,USD
08/23/2021,Cash,$0.11,08/06/2021,08/24/2021,09/16/2021,USD
05/21/2021,Cash,$0.11,05/07/2021,05/24/2021,06/16/2021,USD
