Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/21/2025,Cash,$0.27,11/11/2025,11/21/2025,12/05/2025,USD
08/22/2025,Cash,$0.27,08/12/2025,08/22/2025,09/05/2025,USD
05/23/2025,Cash,$0.27,05/13/2025,05/23/2025,06/06/2025,USD
02/21/2025,Cash,$0.27,02/11/2025,02/21/2025,03/07/2025,USD
11/22/2024,Cash,$0.26,11/12/2024,11/22/2024,12/06/2024,USD
08/23/2024,Cash,$0.26,08/13/2024,08/23/2024,09/06/2024,USD
05/23/2024,Cash,$0.26,05/14/2024,05/24/2024,06/07/2024,USD
02/22/2024,Cash,$0.26,02/13/2024,02/23/2024,03/08/2024,USD
11/22/2023,Cash,$0.25,11/14/2023,11/24/2023,12/08/2023,USD
08/24/2023,Cash,$0.25,08/15/2023,08/25/2023,09/08/2023,USD
05/18/2023,Cash,$0.25,05/09/2023,05/19/2023,06/02/2023,USD
02/23/2023,Cash,$0.25,02/14/2023,02/24/2023,03/10/2023,USD
11/17/2022,Cash,$0.24,11/08/2022,11/18/2022,12/02/2022,USD
08/18/2022,Cash,$0.24,08/09/2022,08/19/2022,09/02/2022,USD
05/19/2022,Cash,$0.24,05/10/2022,05/20/2022,06/03/2022,USD
02/03/2022,Cash,$0.24,01/25/2022,02/04/2022,02/18/2022,USD
11/04/2021,Cash,$0.23,10/26/2021,11/05/2021,11/19/2021,USD
08/05/2021,Cash,$0.23,07/27/2021,08/06/2021,08/20/2021,USD
05/06/2021,Cash,$0.23,04/27/2021,05/07/2021,05/21/2021,USD
02/04/2021,Cash,$0.23,01/26/2021,02/05/2021,02/19/2021,USD
11/05/2020,Cash,$0.22,10/27/2020,11/06/2020,11/20/2020,USD
08/06/2020,Cash,$0.22,07/28/2020,08/07/2020,08/21/2020,USD
05/07/2020,Cash,$0.22,04/28/2020,05/08/2020,05/22/2020,USD
02/06/2020,Cash,$0.22,01/22/2020,02/07/2020,02/21/2020,USD
11/07/2019,Cash,$0.21,10/29/2019,11/08/2019,11/22/2019,USD
08/08/2019,Cash,$0.21,07/22/2019,08/09/2019,08/23/2019,USD
05/09/2019,Cash,$0.20,04/29/2019,05/10/2019,05/24/2019,USD
02/07/2019,Cash,$0.20,01/16/2019,02/08/2019,02/22/2019,USD
11/08/2018,Cash,$0.18,10/22/2018,11/09/2018,11/23/2018,USD
08/09/2018,Cash,$0.18,07/23/2018,08/10/2018,08/24/2018,USD
05/10/2018,Cash,$0.17,04/30/2018,05/11/2018,05/25/2018,USD
02/08/2018,Cash,$0.17,01/24/2018,02/09/2018,02/23/2018,USD
11/03/2017,Cash,$0.15,10/25/2017,11/06/2017,11/20/2017,USD
08/02/2017,Cash,$0.15,07/24/2017,08/04/2017,08/18/2017,USD
05/03/2017,Cash,$0.15,04/24/2017,05/05/2017,05/19/2017,USD
01/30/2017,Cash,$0.40,01/18/2017,02/01/2017,02/10/2017,USD
11/02/2016,Cash,$0.14,10/24/2016,11/04/2016,11/18/2016,USD
08/03/2016,Cash,$0.14,07/25/2016,08/05/2016,08/19/2016,USD
04/27/2016,Cash,$0.14,04/19/2016,04/29/2016,05/13/2016,USD
01/28/2016,Cash,$0.14,01/20/2016,02/01/2016,02/12/2016,USD
11/04/2015,Cash,$0.13,10/26/2015,11/06/2015,11/20/2015,USD
08/05/2015,Cash,$0.13,07/27/2015,08/07/2015,08/21/2015,USD
05/12/2015,Cash,$0.13,05/04/2015,05/14/2015,05/29/2015,USD
01/29/2015,Cash,$0.13,01/21/2015,02/02/2015,02/16/2015,USD
10/01/2014,Cash,$0.1467,09/22/2014,10/03/2014,10/17/2014,USD
07/01/2014,Cash,$0.11,06/23/2014,07/03/2014,07/18/2014,USD
04/02/2014,Cash,$0.10,03/24/2014,04/04/2014,04/18/2014,USD
12/31/2013,Cash,$0.10,12/23/2013,01/03/2014,01/17/2014,USD
10/02/2013,Cash,$0.10,09/23/2013,10/04/2013,10/18/2013,USD
07/02/2013,Cash,$0.09,06/24/2013,07/05/2013,07/19/2013,USD
12/24/2012,Cash,$0.08,12/17/2012,12/27/2012,12/31/2012,USD
04/02/2003,Cash,$0.21,N/A,04/02/2003,N/A,USD
12/31/2002,Cash,$0.23,N/A,12/31/2002,N/A,USD
10/02/2002,Cash,$0.23,N/A,10/02/2002,N/A,USD
07/02/2002,Cash,$0.23,N/A,07/02/2002,N/A,USD
04/03/2002,Cash,$0.22,N/A,04/03/2002,N/A,USD
12/26/2001,Cash,$0.24,N/A,12/26/2001,N/A,USD
10/03/2001,Cash,$0.24,N/A,10/03/2001,N/A,USD
07/03/2001,Cash,$0.24,N/A,07/03/2001,N/A,USD
04/04/2001,Cash,$0.23,N/A,04/04/2001,N/A,USD
12/27/2000,Cash,$0.25,N/A,12/27/2000,N/A,USD
10/04/2000,Cash,$0.25,N/A,10/04/2000,N/A,USD
06/28/2000,Cash,$0.25,N/A,06/28/2000,N/A,USD
04/05/2000,Cash,$0.24,N/A,04/05/2000,N/A,USD
01/05/2000,Cash,$0.24,N/A,01/05/2000,N/A,USD
10/06/1999,Cash,$0.23,N/A,10/06/1999,N/A,USD
07/07/1999,Cash,$0.23,N/A,07/07/1999,N/A,USD
04/07/1999,Cash,$0.22,N/A,04/07/1999,N/A,USD
01/04/1999,Cash,$0.24,N/A,01/04/1999,N/A,USD
10/05/1998,Cash,$0.23,N/A,10/05/1998,N/A,USD
07/06/1998,Cash,$0.23,N/A,07/06/1998,N/A,USD
04/07/1998,Cash,$0.22,N/A,04/07/1998,N/A,USD
01/05/1998,Cash,$0.24,N/A,01/05/1998,N/A,USD
10/06/1997,Cash,$0.23,N/A,10/06/1997,N/A,USD
07/07/1997,Cash,$0.23,N/A,07/07/1997,N/A,USD
04/07/1997,Cash,$0.22,N/A,04/07/1997,N/A,USD
01/06/1997,Cash,$0.24,N/A,01/06/1997,N/A,USD
10/07/1996,Cash,$0.23,N/A,10/07/1996,N/A,USD
07/08/1996,Cash,$0.23,N/A,07/08/1996,N/A,USD
04/08/1996,Cash,$0.22,N/A,04/08/1996,N/A,USD
01/08/1996,Cash,$0.24,N/A,01/08/1996,N/A,USD
10/02/1995,Cash,$0.23,N/A,10/02/1995,N/A,USD
07/10/1995,Cash,$0.23,N/A,07/10/1995,N/A,USD
04/11/1995,Cash,$0.22,N/A,04/11/1995,N/A,USD
01/05/1995,Cash,$0.22,N/A,01/05/1995,N/A,USD
09/30/1994,Cash,$0.21,N/A,09/30/1994,N/A,USD
07/08/1994,Cash,$0.21,N/A,07/08/1994,N/A,USD
04/06/1994,Cash,$0.20,N/A,04/06/1994,N/A,USD
01/06/1994,Cash,$0.22,N/A,01/06/1994,N/A,USD
09/30/1993,Cash,$0.21,N/A,09/30/1993,N/A,USD
07/09/1993,Cash,$0.21,N/A,07/09/1993,N/A,USD
04/07/1993,Cash,$0.20,N/A,04/07/1993,N/A,USD
01/06/1993,Cash,$0.22,N/A,01/06/1993,N/A,USD
09/30/1992,Cash,$0.21,N/A,09/30/1992,N/A,USD
07/01/1992,Cash,$0.21,N/A,07/01/1992,N/A,USD
04/08/1992,Cash,$0.20,N/A,04/08/1992,N/A,USD
01/08/1992,Cash,$0.30,N/A,01/08/1992,N/A,USD
10/02/1991,Cash,$0.28,N/A,10/02/1991,N/A,USD
07/02/1991,Cash,$0.28,N/A,07/02/1991,N/A,USD
04/04/1991,Cash,$0.26,N/A,04/04/1991,N/A,USD
01/09/1991,Cash,$0.26,N/A,01/09/1991,N/A,USD
10/02/1990,Cash,$0.24,N/A,10/02/1990,N/A,USD
07/03/1990,Cash,$0.24,N/A,07/03/1990,N/A,USD
04/04/1990,Cash,$0.22,N/A,04/04/1990,N/A,USD
01/03/1990,Cash,$0.33,N/A,01/03/1990,N/A,USD
09/27/1989,Cash,$0.30,N/A,09/27/1989,N/A,USD
07/05/1989,Cash,$0.30,N/A,07/05/1989,N/A,USD
03/29/1989,Cash,$0.273,N/A,03/29/1989,N/A,USD
12/29/1988,Cash,$0.30,N/A,12/29/1988,N/A,USD
