Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/04/2025,Cash,$0.125,10/29/2025,12/04/2025,12/18/2025,USD
09/04/2025,Cash,$0.10,07/29/2025,09/04/2025,09/18/2025,USD
06/04/2025,Cash,$0.10,04/29/2025,06/04/2025,06/18/2025,USD
04/02/2020,Cash,$0.50,02/13/2020,04/03/2020,04/17/2020,USD
01/02/2020,Cash,$0.50,11/14/2019,01/03/2020,01/21/2020,USD
10/03/2019,Cash,$0.50,08/07/2019,10/04/2019,10/22/2019,USD
06/27/2019,Cash,$0.50,05/02/2019,06/28/2019,07/15/2019,USD
03/28/2019,Cash,$0.50,02/14/2019,03/29/2019,04/15/2019,USD
12/27/2018,Cash,$0.50,11/07/2018,12/28/2018,01/14/2019,USD
09/27/2018,Cash,$0.50,08/01/2018,09/28/2018,10/15/2018,USD
06/28/2018,Cash,$0.50,05/02/2018,06/29/2018,07/16/2018,USD
03/28/2018,Cash,$0.50,01/27/2018,03/30/2018,04/16/2018,USD
12/28/2017,Cash,$0.50,11/01/2017,12/29/2017,01/16/2018,USD
09/28/2017,Cash,$0.50,08/02/2017,09/29/2017,10/16/2017,USD
06/28/2017,Cash,$0.50,05/03/2017,06/30/2017,07/17/2017,USD
03/29/2017,Cash,$0.50,02/01/2017,03/31/2017,04/17/2017,USD
12/28/2016,Cash,$0.50,11/03/2016,12/30/2016,01/17/2017,USD
09/28/2016,Cash,$0.50,08/03/2016,09/30/2016,10/17/2016,USD
06/29/2016,Cash,$0.50,05/03/2016,07/01/2016,07/15/2016,USD
03/30/2016,Cash,$0.50,02/10/2016,04/01/2016,04/15/2016,USD
12/29/2015,Cash,$0.50,11/03/2015,01/01/2016,01/15/2016,USD
09/30/2015,Cash,$0.50,08/04/2015,10/02/2015,10/15/2015,USD
06/30/2015,Cash,$0.50,05/05/2015,07/03/2015,07/15/2015,USD
03/31/2015,Cash,$0.50,02/03/2015,04/03/2015,04/16/2015,USD
12/30/2014,Cash,$0.40,11/04/2014,01/02/2015,01/15/2015,USD
10/01/2014,Cash,$0.40,08/04/2014,10/03/2014,10/15/2014,USD
06/25/2014,Cash,$0.40,05/14/2014,06/27/2014,07/15/2014,USD
03/26/2014,Cash,$0.30,02/06/2014,03/28/2014,04/15/2014,USD
12/24/2013,Cash,$0.30,11/13/2013,12/27/2013,01/15/2014,USD
09/26/2013,Cash,$0.25,09/19/2013,09/30/2013,10/15/2013,USD
