Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
10/20/2025,Cash,$0.94,10/09/2025,10/20/2025,10/31/2025,USD
07/18/2025,Cash,$0.94,06/17/2025,07/18/2025,07/31/2025,USD
04/17/2025,Cash,$0.94,03/18/2025,04/18/2025,04/30/2025,USD
01/17/2025,Cash,$0.94,12/11/2024,01/17/2025,01/31/2025,USD
10/18/2024,Cash,$0.88,10/04/2024,10/18/2024,10/31/2024,USD
07/19/2024,Cash,$0.88,06/18/2024,07/19/2024,07/31/2024,USD
04/18/2024,Cash,$0.88,03/19/2024,04/19/2024,04/30/2024,USD
01/18/2024,Cash,$0.88,12/12/2023,01/19/2024,01/31/2024,USD
10/19/2023,Cash,$0.83,10/06/2023,10/20/2023,10/31/2023,USD
07/13/2023,Cash,$0.83,06/20/2023,07/14/2023,07/31/2023,USD
04/13/2023,Cash,$0.83,03/21/2023,04/14/2023,04/28/2023,USD
01/12/2023,Cash,$0.83,12/13/2022,01/13/2023,01/31/2023,USD
10/20/2022,Cash,$0.78,10/11/2022,10/21/2022,10/31/2022,USD
07/14/2022,Cash,$0.78,06/21/2022,07/15/2022,07/29/2022,USD
04/13/2022,Cash,$0.78,03/15/2022,04/15/2022,04/29/2022,USD
01/13/2022,Cash,$0.78,12/13/2021,01/14/2022,01/31/2022,USD
10/14/2021,Cash,$0.72,10/04/2021,10/15/2021,10/29/2021,USD
07/15/2021,Cash,$0.72,06/15/2021,07/16/2021,07/30/2021,USD
04/15/2021,Cash,$0.72,03/16/2021,04/16/2021,04/30/2021,USD
01/14/2021,Cash,$0.67,12/07/2020,01/15/2021,01/29/2021,USD
10/15/2020,Cash,$0.67,10/05/2020,10/16/2020,10/30/2020,USD
07/16/2020,Cash,$0.67,06/16/2020,07/17/2020,07/31/2020,USD
04/16/2020,Cash,$0.67,03/17/2020,04/17/2020,04/30/2020,USD
01/16/2020,Cash,$0.67,12/10/2019,01/17/2020,01/31/2020,USD
10/17/2019,Cash,$0.61,10/08/2019,10/18/2019,10/31/2019,USD
07/18/2019,Cash,$0.61,06/18/2019,07/19/2019,07/31/2019,USD
04/17/2019,Cash,$0.61,03/19/2019,04/19/2019,04/30/2019,USD
01/17/2019,Cash,$0.61,12/11/2018,01/18/2019,01/31/2019,USD
10/18/2018,Cash,$0.54,10/09/2018,10/19/2018,10/31/2018,USD
07/19/2018,Cash,$0.54,06/19/2018,07/20/2018,07/31/2018,USD
04/19/2018,Cash,$0.54,03/20/2018,04/20/2018,04/30/2018,USD
