Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
01/05/2026,Cash,$0.14,11/14/2025,01/05/2026,01/21/2026,USD
10/06/2025,Cash,$0.14,08/07/2025,10/06/2025,10/22/2025,USD
07/07/2025,Cash,$0.14,05/20/2025,07/07/2025,07/23/2025,USD
04/14/2025,Cash,$0.14,02/14/2025,04/14/2025,05/07/2025,USD
01/02/2025,Cash,$0.14,11/12/2024,01/02/2025,01/15/2025,USD
10/07/2024,Cash,$0.14,08/06/2024,10/07/2024,10/23/2024,USD
07/01/2024,Cash,$0.14,05/14/2024,07/01/2024,07/17/2024,USD
04/12/2024,Cash,$0.14,02/20/2024,04/15/2024,05/01/2024,USD
12/29/2023,Cash,$0.14,11/06/2023,01/02/2024,01/17/2024,USD
09/29/2023,Cash,$0.14,08/08/2023,10/02/2023,10/18/2023,USD
06/30/2023,Cash,$0.14,05/09/2023,07/03/2023,07/19/2023,USD
04/14/2023,Cash,$0.13,02/23/2023,04/17/2023,05/03/2023,USD
12/30/2022,Cash,$0.13,11/08/2022,01/03/2023,01/17/2023,USD
09/30/2022,Cash,$0.13,08/02/2022,10/03/2022,10/18/2022,USD
07/01/2022,Cash,$0.13,05/10/2022,07/05/2022,07/19/2022,USD
04/14/2022,Cash,$0.12,02/24/2022,04/18/2022,05/03/2022,USD
12/31/2021,Cash,$0.12,11/12/2021,01/03/2022,01/18/2022,USD
10/01/2021,Cash,$0.12,08/09/2021,10/04/2021,10/19/2021,USD
07/02/2021,Cash,$0.12,05/11/2021,07/06/2021,07/20/2021,USD
04/16/2021,Cash,$0.10,02/25/2021,04/19/2021,05/04/2021,USD
12/31/2020,Cash,$0.09,11/17/2020,01/04/2021,01/19/2021,USD
10/02/2020,Cash,$0.09,08/17/2020,10/05/2020,10/20/2020,USD
07/02/2020,Cash,$0.09,05/14/2020,07/06/2020,07/21/2020,USD
04/17/2020,Cash,$0.09,03/03/2020,04/20/2020,05/05/2020,USD
01/03/2020,Cash,$0.09,11/21/2019,01/06/2020,01/21/2020,USD
10/04/2019,Cash,$0.09,08/22/2019,10/07/2019,10/22/2019,USD
06/28/2019,Cash,$0.09,05/14/2019,07/01/2019,07/16/2019,USD
05/23/2019,Cash,$3.75,05/14/2019,05/24/2019,06/07/2019,USD
04/12/2019,Cash,$0.09,03/18/2019,04/15/2019,05/07/2019,USD
12/31/2018,Cash,$0.09,11/15/2018,01/02/2019,01/15/2019,USD
09/28/2018,Cash,$0.09,08/15/2018,10/01/2018,10/16/2018,USD
06/29/2018,Cash,$0.09,05/09/2018,07/02/2018,07/17/2018,USD
04/13/2018,Cash,$0.07,03/19/2018,04/16/2018,05/01/2018,USD
12/29/2017,Cash,$0.07,11/15/2017,01/02/2018,01/16/2018,USD
09/29/2017,Cash,$0.07,08/17/2017,10/02/2017,10/17/2017,USD
06/30/2017,Cash,$0.07,05/15/2017,07/05/2017,07/18/2017,USD
04/12/2017,Cash,$0.06,02/14/2017,04/17/2017,05/02/2017,USD
12/29/2016,Cash,$0.06,11/15/2016,01/03/2017,01/17/2017,USD
09/29/2016,Cash,$0.06,08/19/2016,10/03/2016,10/18/2016,USD
07/06/2016,Cash,$0.06,06/28/2016,07/08/2016,07/19/2016,USD
04/14/2016,Cash,$0.06,02/23/2016,04/18/2016,05/03/2016,USD
12/30/2015,Cash,$0.06,11/17/2015,01/04/2016,01/19/2016,USD
10/01/2015,Cash,$0.06,08/17/2015,10/05/2015,10/20/2015,USD
07/01/2015,Cash,$0.05,06/08/2015,07/06/2015,07/21/2015,USD
04/16/2015,Cash,$0.05,03/23/2015,04/20/2015,05/05/2015,USD
12/31/2014,Cash,$0.05,12/01/2014,01/05/2015,01/20/2015,USD
10/02/2014,Cash,$0.05,09/09/2014,10/06/2014,10/21/2014,USD
07/02/2014,Cash,$0.05,06/09/2014,07/07/2014,07/22/2014,USD
04/10/2014,Cash,$0.05,03/24/2014,04/14/2014,05/06/2014,USD
01/02/2014,Cash,$0.05,12/02/2013,01/06/2014,01/21/2014,USD
10/03/2013,Cash,$0.05,09/05/2013,10/07/2013,10/22/2013,USD
06/27/2013,Cash,$0.05,06/07/2013,07/01/2013,07/16/2013,USD
04/16/2003,Cash,$0.02,N/A,04/16/2003,N/A,USD
01/09/2003,Cash,$0.02,N/A,01/09/2003,N/A,USD
10/03/2002,Cash,$0.02,N/A,10/03/2002,N/A,USD
06/27/2002,Cash,$0.02,N/A,06/27/2002,N/A,USD
04/18/2002,Cash,$0.02,N/A,04/18/2002,N/A,USD
01/10/2002,Cash,$0.025,N/A,01/10/2002,N/A,USD
09/27/2001,Cash,$0.025,N/A,09/27/2001,N/A,USD
06/28/2001,Cash,$0.025,N/A,06/28/2001,N/A,USD
04/11/2001,Cash,$0.025,N/A,04/11/2001,N/A,USD
01/04/2001,Cash,$0.025,N/A,01/04/2001,N/A,USD
09/28/2000,Cash,$0.025,N/A,09/28/2000,N/A,USD
06/29/2000,Cash,$0.025,N/A,06/29/2000,N/A,USD
04/13/2000,Cash,$0.025,N/A,04/13/2000,N/A,USD
01/06/2000,Cash,$0.025,N/A,01/06/2000,N/A,USD
09/30/1999,Cash,$0.025,N/A,09/30/1999,N/A,USD
07/01/1999,Cash,$0.025,N/A,07/01/1999,N/A,USD
04/15/1999,Cash,$0.025,N/A,04/15/1999,N/A,USD
01/07/1999,Cash,$0.025,N/A,01/07/1999,N/A,USD
10/01/1998,Cash,$0.024,N/A,10/01/1998,N/A,USD
07/01/1998,Cash,$0.024,N/A,07/01/1998,N/A,USD
04/16/1998,Cash,$0.025,N/A,04/16/1998,N/A,USD
01/08/1998,Cash,$0.025,N/A,01/08/1998,N/A,USD
10/03/1997,Cash,$0.025,N/A,10/03/1997,N/A,USD
07/02/1997,Cash,$0.025,N/A,07/02/1997,N/A,USD
04/17/1997,Cash,$0.025,N/A,04/17/1997,N/A,USD
01/09/1997,Cash,$0.025,N/A,01/09/1997,N/A,USD
10/03/1996,Cash,$0.025,N/A,10/03/1996,N/A,USD
07/03/1996,Cash,$0.035,N/A,07/03/1996,N/A,USD
04/18/1996,Cash,$0.03,N/A,04/18/1996,N/A,USD
01/04/1996,Cash,$0.03,N/A,01/04/1996,N/A,USD
09/28/1995,Cash,$0.03,N/A,09/28/1995,N/A,USD
07/06/1995,Cash,$0.03,N/A,07/06/1995,N/A,USD
04/18/1995,Cash,$0.03,N/A,04/18/1995,N/A,USD
01/03/1995,Cash,$0.025,N/A,01/03/1995,N/A,USD
10/03/1994,Cash,$0.025,N/A,10/03/1994,N/A,USD
07/05/1994,Cash,$0.025,N/A,07/05/1994,N/A,USD
05/09/1994,Cash,$0.025,N/A,05/09/1994,N/A,USD
01/04/1994,Cash,$0.03,N/A,01/04/1994,N/A,USD
10/04/1993,Cash,$0.02,N/A,10/04/1993,N/A,USD
07/08/1993,Cash,$0.02,N/A,07/08/1993,N/A,USD
04/20/1993,Cash,$0.02,N/A,04/20/1993,N/A,USD
01/05/1993,Cash,$0.02,N/A,01/05/1993,N/A,USD
09/29/1992,Cash,$0.02,N/A,09/29/1992,N/A,USD
07/01/1992,Cash,$0.04,N/A,07/01/1992,N/A,USD
04/21/1992,Cash,$0.04,N/A,04/21/1992,N/A,USD
01/07/1992,Cash,$0.04,N/A,01/07/1992,N/A,USD
10/07/1991,Cash,$0.04,N/A,10/07/1991,N/A,USD
07/03/1991,Cash,$0.03,N/A,07/03/1991,N/A,USD
04/16/1991,Cash,$0.03,N/A,04/16/1991,N/A,USD
01/08/1991,Cash,$0.03,N/A,01/08/1991,N/A,USD
10/05/1990,Cash,$0.03,N/A,10/05/1990,N/A,USD
06/29/1990,Cash,$0.03,N/A,06/29/1990,N/A,USD
04/24/1990,Cash,$0.03,N/A,04/24/1990,N/A,USD
01/02/1990,Cash,$0.03,N/A,01/02/1990,N/A,USD
09/26/1989,Cash,$0.02,N/A,09/26/1989,N/A,USD
06/26/1989,Cash,$0.02,N/A,06/26/1989,N/A,USD
04/04/1989,Cash,$0.03,N/A,04/04/1989,N/A,USD
10/11/1988,Cash,$0.02,N/A,10/11/1988,N/A,USD
