Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
11/19/2025,Cash,$0.19,N/A,11/19/2025,12/02/2025,USD
08/20/2025,Cash,$0.19,N/A,08/20/2025,09/03/2025,USD
05/27/2025,Cash,$0.18,N/A,05/27/2025,06/03/2025,USD
02/24/2025,Cash,$0.18,N/A,02/24/2025,03/04/2025,USD
11/19/2024,Cash,$0.18,N/A,11/19/2024,12/03/2024,USD
08/27/2024,Cash,$0.18,N/A,08/27/2024,09/04/2024,USD
05/22/2024,Cash,$0.17,N/A,05/23/2024,06/03/2024,USD
02/21/2024,Cash,$0.17,N/A,02/22/2024,03/01/2024,USD
11/20/2023,Cash,$0.17,N/A,11/21/2023,12/01/2023,USD
08/23/2023,Cash,$0.17,N/A,08/24/2023,09/01/2023,USD
05/22/2023,Cash,$0.16,N/A,05/23/2023,06/01/2023,USD
02/17/2023,Cash,$0.16,N/A,02/21/2023,03/01/2023,USD
11/21/2022,Cash,$0.16,N/A,11/22/2022,12/01/2022,USD
08/23/2022,Cash,$0.16,N/A,08/24/2022,09/01/2022,USD
05/20/2022,Cash,$0.15,N/A,05/23/2022,06/01/2022,USD
02/17/2022,Cash,$0.15,N/A,02/18/2022,03/01/2022,USD
11/22/2021,Cash,$0.15,N/A,11/23/2021,12/01/2021,USD
08/24/2021,Cash,$0.15,N/A,08/25/2021,09/01/2021,USD
05/21/2021,Cash,$0.12,N/A,05/24/2021,06/01/2021,USD
02/19/2021,Cash,$0.12,N/A,02/22/2021,03/01/2021,USD
11/23/2020,Cash,$0.12,N/A,11/24/2020,12/01/2020,USD
08/24/2020,Cash,$0.12,N/A,08/25/2020,09/01/2020,USD
