Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
09/30/2025,Cash,$0.92,08/29/2025,09/30/2025,10/15/2025,USD
06/30/2025,Cash,$0.92,05/16/2025,06/30/2025,07/15/2025,USD
03/31/2025,Cash,$0.92,02/24/2025,03/31/2025,04/15/2025,USD
12/31/2024,Cash,$0.88,12/10/2024,12/31/2024,01/15/2025,USD
09/30/2024,Cash,$0.88,08/23/2024,09/30/2024,10/15/2024,USD
06/28/2024,Cash,$0.88,05/20/2024,06/30/2024,07/15/2024,USD
03/27/2024,Cash,$0.88,02/26/2024,03/31/2024,04/15/2024,USD
12/28/2023,Cash,$0.84,12/04/2023,12/31/2023,01/16/2024,USD
09/28/2023,Cash,$0.84,08/08/2023,09/30/2023,10/16/2023,USD
06/29/2023,Cash,$0.84,05/17/2023,06/30/2023,07/17/2023,USD
03/30/2023,Cash,$0.84,02/07/2023,03/31/2023,04/17/2023,USD
12/29/2022,Cash,$0.82,12/07/2022,12/31/2022,01/17/2023,USD
09/29/2022,Cash,$0.82,08/29/2022,09/30/2022,10/17/2022,USD
06/29/2022,Cash,$0.82,05/25/2022,06/30/2022,07/15/2022,USD
03/30/2022,Cash,$0.82,02/23/2022,03/31/2022,04/15/2022,USD
12/30/2021,Cash,$0.80,12/07/2021,12/31/2021,01/18/2022,USD
09/29/2021,Cash,$0.80,08/04/2021,09/30/2021,10/15/2021,USD
05/27/2021,Cash,$0.71,05/17/2021,05/31/2021,06/15/2021,USD
03/30/2021,Cash,$0.71,02/24/2021,03/31/2021,04/15/2021,USD
12/30/2020,Cash,$0.71,12/09/2020,12/31/2020,01/15/2021,USD
09/29/2020,Cash,$0.68,08/21/2020,09/30/2020,10/15/2020,USD
06/29/2020,Cash,$0.68,05/19/2020,06/30/2020,07/15/2020,USD
03/30/2020,Cash,$0.68,02/26/2020,03/31/2020,04/15/2020,USD
12/30/2019,Cash,$0.65,N/A,12/31/2019,01/15/2020,USD
09/27/2019,Cash,$0.65,09/03/2019,09/30/2019,10/15/2019,USD
06/27/2019,Cash,$0.65,05/20/2019,06/30/2019,07/15/2019,USD
03/28/2019,Cash,$0.65,02/27/2019,03/31/2019,04/15/2019,USD
12/28/2018,Cash,$0.60,11/13/2018,12/31/2018,01/15/2019,USD
09/27/2018,Cash,$0.60,09/10/2018,09/30/2018,10/15/2018,USD
06/28/2018,Cash,$0.60,05/23/2018,06/30/2018,07/16/2018,USD
03/28/2018,Cash,$0.60,02/23/2018,03/31/2018,04/16/2018,USD
12/28/2017,Cash,$0.53,11/15/2017,12/31/2017,01/16/2018,USD
09/28/2017,Cash,$0.53,09/19/2017,09/30/2017,10/16/2017,USD
06/28/2017,Cash,$0.53,05/17/2017,06/30/2017,07/17/2017,USD
03/29/2017,Cash,$0.53,02/08/2017,03/31/2017,04/17/2017,USD
12/28/2016,Cash,$0.48,10/20/2016,12/31/2016,01/17/2017,USD
09/28/2016,Cash,$0.48,07/21/2016,09/30/2016,10/17/2016,USD
06/28/2016,Cash,$0.48,04/22/2016,06/30/2016,07/15/2016,USD
03/29/2016,Cash,$0.48,02/04/2016,03/31/2016,04/15/2016,USD
11/16/2015,Cash,$0.31,10/27/2015,11/18/2015,12/02/2015,USD
09/28/2015,Cash,$0.31,07/28/2015,09/30/2015,10/15/2015,USD
06/26/2015,Cash,$0.31,04/28/2015,06/30/2015,07/15/2015,USD
03/27/2015,Cash,$0.31,02/10/2015,03/31/2015,04/15/2015,USD
12/29/2014,Cash,$0.30,10/28/2014,12/31/2014,01/15/2015,USD
09/26/2014,Cash,$0.30,07/29/2014,09/30/2014,10/15/2014,USD
06/26/2014,Cash,$0.30,04/29/2014,06/30/2014,07/15/2014,USD
03/27/2014,Cash,$0.30,02/11/2014,03/31/2014,04/15/2014,USD
12/27/2013,Cash,$0.28,10/29/2013,12/31/2013,01/15/2014,USD
