Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
09/15/2025,Cash,$0.57,07/30/2025,09/15/2025,10/20/2025,USD
06/13/2025,Cash,$0.57,05/21/2025,06/13/2025,07/20/2025,USD
03/14/2025,Cash,$0.57,02/26/2025,03/14/2025,04/20/2025,USD
01/06/2025,Cash,$0.5475,12/18/2024,01/06/2025,01/20/2025,USD
09/13/2024,Cash,$0.5475,07/30/2024,09/13/2024,10/20/2024,USD
06/14/2024,Cash,$0.5475,05/22/2024,06/14/2024,07/20/2024,USD
03/14/2024,Cash,$0.5475,02/21/2024,03/15/2024,04/20/2024,USD
12/27/2023,Cash,$0.52,12/13/2023,12/28/2023,01/20/2024,USD
09/14/2023,Cash,$0.52,08/23/2023,09/15/2023,10/20/2023,USD
06/14/2023,Cash,$0.52,05/24/2023,06/15/2023,07/20/2023,USD
03/14/2023,Cash,$0.52,02/22/2023,03/15/2023,04/20/2023,USD
12/28/2022,Cash,$0.4875,12/14/2022,12/29/2022,01/20/2023,USD
09/14/2022,Cash,$0.4875,08/17/2022,09/15/2022,10/20/2022,USD
06/14/2022,Cash,$0.4875,05/18/2022,06/15/2022,07/20/2022,USD
03/14/2022,Cash,$0.4875,02/23/2022,03/15/2022,04/20/2022,USD
12/21/2021,Cash,$0.4575,12/08/2021,12/22/2021,01/20/2022,USD
09/14/2021,Cash,$0.4575,08/18/2021,09/15/2021,10/20/2021,USD
06/14/2021,Cash,$0.4575,05/19/2021,06/15/2021,07/20/2021,USD
03/12/2021,Cash,$0.4575,02/17/2021,03/15/2021,04/20/2021,USD
12/22/2020,Cash,$0.43,12/09/2020,12/23/2020,01/20/2021,USD
09/14/2020,Cash,$0.43,08/19/2020,09/15/2020,10/20/2020,USD
06/12/2020,Cash,$0.43,05/20/2020,06/15/2020,07/20/2020,USD
03/12/2020,Cash,$0.43,02/19/2020,03/13/2020,04/20/2020,USD
12/24/2019,Cash,$0.405,12/11/2019,12/26/2019,01/20/2020,USD
09/12/2019,Cash,$0.405,08/21/2019,09/13/2019,10/20/2019,USD
06/13/2019,Cash,$0.405,05/15/2019,06/14/2019,07/20/2019,USD
03/14/2019,Cash,$0.405,02/20/2019,03/15/2019,04/20/2019,USD
12/27/2018,Cash,$0.38,12/12/2018,12/28/2018,01/20/2019,USD
09/13/2018,Cash,$0.38,08/22/2018,09/14/2018,10/20/2018,USD
06/14/2018,Cash,$0.38,05/16/2018,06/15/2018,07/20/2018,USD
03/14/2018,Cash,$0.38,02/21/2018,03/15/2018,04/20/2018,USD
12/27/2017,Cash,$0.36,12/13/2017,12/28/2017,01/20/2018,USD
09/14/2017,Cash,$0.36,08/23/2017,09/15/2017,10/20/2017,USD
06/13/2017,Cash,$0.36,05/17/2017,06/15/2017,07/20/2017,USD
03/13/2017,Cash,$0.36,02/22/2017,03/15/2017,04/20/2017,USD
12/22/2016,Cash,$0.34,12/14/2016,12/27/2016,01/20/2017,USD
09/13/2016,Cash,$0.34,08/24/2016,09/15/2016,10/20/2016,USD
06/14/2016,Cash,$0.34,05/18/2016,06/16/2016,07/20/2016,USD
03/11/2016,Cash,$0.34,02/17/2016,03/15/2016,04/20/2016,USD
12/22/2015,Cash,$0.32,12/09/2015,12/24/2015,01/20/2016,USD
09/15/2015,Cash,$0.32,08/19/2015,09/17/2015,10/20/2015,USD
06/16/2015,Cash,$0.32,05/20/2015,06/18/2015,07/20/2015,USD
03/13/2015,Cash,$0.32,02/18/2015,03/17/2015,04/20/2015,USD
12/23/2014,Cash,$0.30,12/10/2014,12/26/2014,01/20/2015,USD
09/16/2014,Cash,$0.30,08/20/2014,09/18/2014,10/20/2014,USD
06/17/2014,Cash,$0.30,05/21/2014,06/19/2014,07/20/2014,USD
03/18/2014,Cash,$0.30,02/19/2014,03/20/2014,04/20/2014,USD
12/24/2013,Cash,$0.28,12/11/2013,12/27/2013,01/20/2014,USD
09/17/2013,Cash,$0.28,08/21/2013,09/19/2013,10/20/2013,USD
06/18/2013,Cash,$0.28,05/21/2013,06/20/2013,07/20/2013,USD
03/19/2013,Cash,$0.27,02/20/2013,03/21/2013,04/20/2013,USD
12/24/2012,Cash,$0.27,12/12/2012,12/27/2012,01/20/2013,USD
09/18/2012,Cash,$0.27,08/22/2012,09/20/2012,10/20/2012,USD
06/19/2012,Cash,$0.27,05/16/2012,06/21/2012,07/20/2012,USD
03/20/2012,Cash,$0.26,02/22/2012,03/22/2012,04/20/2012,USD
12/22/2011,Cash,$0.26,12/14/2011,12/27/2011,01/20/2012,USD
09/20/2011,Cash,$0.26,08/24/2011,09/22/2011,10/20/2011,USD
06/21/2011,Cash,$0.26,05/18/2011,06/23/2011,07/20/2011,USD
03/22/2011,Cash,$0.2525,02/23/2011,03/24/2011,04/20/2011,USD
09/21/2010,Cash,$0.2525,08/25/2010,09/23/2010,10/20/2010,USD
06/22/2010,Cash,$0.2525,05/19/2010,06/24/2010,07/20/2010,USD
03/23/2010,Cash,$0.245,02/17/2010,03/25/2010,04/20/2010,USD
