Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
05/17/2019,Cash,$0.455,05/07/2019,05/20/2019,06/04/2019,USD
02/22/2019,Cash,$0.445,02/12/2019,02/25/2019,03/12/2019,USD
11/16/2018,Cash,$0.435,10/29/2018,11/19/2018,12/05/2018,USD
08/17/2018,Cash,$0.425,08/08/2018,08/20/2018,09/04/2018,USD
05/17/2018,Cash,$0.415,05/03/2018,05/18/2018,06/01/2018,USD
02/21/2018,Cash,$0.405,02/02/2018,02/22/2018,03/09/2018,USD
11/16/2017,Cash,$0.395,10/31/2017,11/17/2017,12/05/2017,USD
08/10/2017,Cash,$0.385,08/02/2017,08/14/2017,09/01/2017,USD
05/17/2017,Cash,$0.375,05/04/2017,05/19/2017,06/02/2017,USD
02/17/2017,Cash,$0.365,02/08/2017,02/22/2017,03/09/2017,USD
11/16/2016,Cash,$0.355,10/28/2016,11/18/2016,12/05/2016,USD
08/15/2016,Cash,$0.345,08/02/2016,08/17/2016,09/01/2016,USD
05/16/2016,Cash,$0.335,05/04/2016,05/18/2016,06/02/2016,USD
02/19/2016,Cash,$0.325,02/09/2016,02/23/2016,03/10/2016,USD
11/13/2015,Cash,$0.315,10/29/2015,11/17/2015,12/03/2015,USD
08/13/2015,Cash,$0.3075,08/03/2015,08/17/2015,09/01/2015,USD
05/15/2015,Cash,$0.30,05/06/2015,05/19/2015,06/03/2015,USD
02/19/2015,Cash,$0.2925,02/10/2015,02/23/2015,03/09/2015,USD
11/13/2014,Cash,$0.285,10/30/2014,11/17/2014,12/04/2014,USD
08/14/2014,Cash,$0.2775,08/04/2014,08/18/2014,09/02/2014,USD
05/15/2014,Cash,$0.27,05/07/2014,05/19/2014,06/03/2014,USD
02/20/2014,Cash,$0.2625,02/11/2014,02/24/2014,03/10/2014,USD
11/14/2013,Cash,$0.255,11/04/2013,11/18/2013,12/04/2013,USD
08/15/2013,Cash,$0.2475,08/06/2013,08/19/2013,09/03/2013,USD
02/21/2013,Cash,$0.2325,02/12/2012,02/25/2013,03/04/2013,USD
