Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/01/2025,Cash,$0.3045606,10/31/2025,12/01/2025,12/15/2025,USD
08/29/2025,Cash,$0.3222967,08/01/2025,09/01/2025,09/15/2025,USD
05/30/2025,Cash,$0.3246124,05/02/2025,06/01/2025,06/15/2025,USD
02/28/2025,Cash,$0.3212613,01/31/2025,03/01/2025,03/17/2025,USD
11/29/2024,Cash,$0.3619936,11/01/2024,12/01/2024,12/15/2024,USD
08/30/2024,Cash,$0.391053,08/02/2024,09/01/2024,09/15/2024,USD
05/31/2024,Cash,$0.3904173,04/26/2024,06/01/2024,06/15/2024,USD
02/29/2024,Cash,$0.3896721,02/02/2024,03/01/2024,03/15/2024,USD
11/30/2023,Cash,$0.3912393,10/27/2023,12/01/2023,12/15/2023,USD
08/31/2023,Cash,$0.387933,07/28/2023,09/01/2023,09/15/2023,USD
05/31/2023,Cash,$0.344124,05/05/2023,06/01/2023,06/15/2023,USD
02/28/2023,Cash,$0.330563,01/27/2023,03/01/2023,03/15/2023,USD
11/30/2022,Cash,$0.252778,10/28/2022,12/01/2022,12/15/2022,USD
08/31/2022,Cash,$0.255556,07/29/2022,09/01/2022,09/15/2022,USD
05/31/2022,Cash,$0.255556,04/29/2022,06/01/2022,06/15/2022,USD
02/28/2022,Cash,$0.25,01/28/2022,03/01/2022,03/15/2022,USD
11/30/2021,Cash,$0.252778,10/22/2021,12/01/2021,12/15/2021,USD
08/31/2021,Cash,$0.255556,N/A,09/01/2021,09/15/2021,USD
05/28/2021,Cash,$0.255556,04/30/2021,06/01/2021,06/15/2021,USD
02/26/2021,Cash,$0.25,02/05/2021,03/01/2021,03/15/2021,USD
11/30/2020,Cash,$0.252778,10/23/2020,12/01/2020,12/15/2020,USD
08/31/2020,Cash,$0.255556,07/31/2020,09/01/2020,09/15/2020,USD
05/29/2020,Cash,$0.255556,05/01/2020,06/01/2020,06/15/2020,USD
02/27/2020,Cash,$0.252778,01/31/2020,03/01/2020,03/15/2020,USD
11/27/2019,Cash,$0.252778,10/25/2019,12/01/2019,12/16/2019,USD
08/29/2019,Cash,$0.255556,07/26/2019,09/01/2019,09/15/2019,USD
05/30/2019,Cash,$0.247222,04/26/2019,06/01/2019,06/15/2019,USD
02/28/2019,Cash,$0.249999,02/01/2019,03/01/2019,03/15/2019,USD
11/29/2018,Cash,$0.2527777,10/26/2018,12/01/2018,12/17/2018,USD
08/30/2018,Cash,$0.252777,N/A,09/01/2018,09/17/2018,USD
05/31/2018,Cash,$0.255555,04/26/2018,06/01/2018,06/15/2018,USD
02/28/2018,Cash,$0.249999,01/26/2018,03/01/2018,03/15/2018,USD
11/30/2017,Cash,$0.252777,10/27/2017,12/01/2017,12/15/2017,USD
08/30/2017,Cash,$0.255555,07/20/2017,09/01/2017,09/15/2017,USD
05/30/2017,Cash,$0.255555,04/26/2017,06/01/2017,06/15/2017,USD
02/27/2017,Cash,$0.25,01/27/2017,03/01/2017,03/15/2017,USD
11/29/2016,Cash,$0.252777,10/28/2016,12/01/2016,12/15/2016,USD
08/30/2016,Cash,$0.255555,07/22/2016,09/01/2016,09/15/2016,USD
05/27/2016,Cash,$0.255555,04/29/2016,06/01/2016,06/15/2016,USD
02/26/2016,Cash,$0.252777,02/05/2016,03/01/2016,03/15/2016,USD
11/27/2015,Cash,$0.25669,10/30/2015,12/01/2015,12/15/2015,USD
08/28/2015,Cash,$0.2555,07/16/2015,09/01/2015,09/15/2015,USD
05/28/2015,Cash,$0.2555,04/17/2015,06/01/2015,06/15/2015,USD
02/25/2015,Cash,$0.25,01/23/2015,03/01/2015,03/15/2015,USD
11/26/2014,Cash,$0.252777,10/24/2014,12/01/2014,12/15/2014,USD
08/27/2014,Cash,$0.2555555,08/06/2014,09/01/2014,09/15/2014,USD
05/28/2014,Cash,$0.2555555,04/28/2014,06/01/2014,06/15/2014,USD
02/26/2014,Cash,$0.25,02/06/2014,03/01/2014,03/15/2014,USD
11/26/2013,Cash,$0.252777,10/25/2013,12/01/2013,12/15/2013,USD
08/28/2013,Cash,$0.255555,08/15/2013,09/01/2013,09/15/2013,USD
05/29/2013,Cash,$0.255555,04/24/2013,06/01/2013,06/15/2013,USD
02/27/2013,Cash,$0.25,02/07/2013,03/01/2013,03/15/2013,USD
11/28/2012,Cash,$0.252778,11/15/2012,12/01/2012,12/15/2012,USD
08/29/2012,Cash,$0.255556,08/09/2012,09/01/2012,09/15/2012,USD
05/30/2012,Cash,$0.25555,05/07/2012,06/01/2012,06/15/2012,USD
02/28/2012,Cash,$0.25275,02/08/2012,03/01/2012,03/15/2012,USD
11/29/2011,Cash,$0.252778,11/21/2011,12/01/2011,12/15/2011,USD
08/30/2011,Cash,$0.255556,08/10/2011,09/01/2011,09/15/2011,USD
05/27/2011,Cash,$0.25555,05/18/2011,06/01/2011,06/15/2011,USD
02/25/2011,Cash,$0.25,02/09/2011,03/01/2011,03/15/2011,USD
11/29/2010,Cash,$0.252778,11/11/2010,12/01/2010,12/15/2010,USD
08/30/2010,Cash,$0.255556,08/12/2010,09/01/2010,09/15/2010,USD
05/27/2010,Cash,$0.255556,05/14/2010,06/01/2010,06/15/2010,USD
02/25/2010,Cash,$0.25,02/11/2010,03/01/2010,03/15/2010,USD
11/27/2009,Cash,$0.252777,11/16/2009,12/01/2009,12/15/2009,USD
08/28/2009,Cash,$0.2555,08/12/2009,09/01/2009,09/15/2009,USD
05/28/2009,Cash,$0.2555,05/01/2009,06/01/2009,06/15/2009,USD
05/28/2008,Cash,$0.255555,05/14/2008,06/01/2008,06/15/2008,USD
02/27/2008,Cash,$0.348241,02/20/2008,03/01/2008,03/15/2008,USD
11/28/2007,Cash,$0.3927143,11/07/2007,12/01/2007,12/15/2007,USD
05/31/2007,Cash,$0.50,05/29/2007,05/31/2007,06/01/2007,USD
